name01#0,"""시에라"""
text01#0,"""탈리스 멀리 있는 에너미를<br>공격할 수 있는<red>투척무기<c>에요."""
text02#0,"""탈리스를 투척하면 한동안 탈리스가<br><red>그 자리에 머물고,<c> 거기서 테크닉이<br>발동하는 게 특징이에요."""
text03#0,"""탈리스를 통상공격으로 던진 뒤<br><red>차지 테크닉<c>을<br>써 보세요."""
text101#0,"""과제4：<yellow>탈리스 설치"""
train_title#0,"""과제4：<yellow>탈리스 설치"""
tut_title#0,"""탈리스에 관하여"""
text100#0,"""・<%NormalAttack>로 통상공격<br>・<%PhotonArts>로 테크닉을<br>\u3000차지해서 발동"""
text100_3b#0,"""・<%NormalAttack>로 통상공격<br>・<%PhotonArts> 혹은 <%MainPaletteC>로 테크닉을<br>\u3000차지해서 발동"""
tut_win_title#0,"""탈리스에 관하여"""
tut_win_text100#0,"""무기「탈리스」에 관하여 설명합니다.<br><br>탈리스는<br>카드 모양의 파츠를 날리고 테크닉을<br>파츠에서 발동시키는 독특한 구조의<br>법격무기입니다.<br><br>포스가 접근하기 어려운 곳에 탈리스을 던져<br>그곳을 기점으로 공격하는 등, <br>공격 바리에이션이 넓어집니다."""
