name01#0,"""시에라"""
11_voice_train_04001#0,"""안녕하세요!<br>이번에는「포스의 기초」에<br>관해 훈련하도록 해요."""
text02#0,"""먼저 <red>저스트 어택<c>에 대해<br>훈련해 볼게요!"""
text03#0,"""통상공격이나 테크닉을 쓴 뒤<br>붉은 원이 나올 거에요. 저스트 어택은<br>그 <red>원에 맞추어 공격<c>하는 거에요!"""
text04#0,"""통상공격 후 나타나는 붉은 원에 맞추어<br>테크닉을 써보도록 해요!"""
text101#0,"""과제1：<yellow>저스트 어택으로 테크닉 발동"""
train_title#0,"""과제1：<yellow>저스트 어택으로 테크닉 발동"""
tut_title#0,"""테크닉에 관하여"""
text100#0,"""・<%NormalAttack>로 통상공격 발동<br>・붉은 원이 표시되는 타이밍에<br>\u3000<%PhotonArts>로 테크닉 발동"""
text100_3b#0,"""・<%NormalAttack>로 통상공격 발동<br>・붉은 원이 표시되는 타이밍에<br>\u3000<%PhotonArts> 혹은 <%MainPaletteC>로 테크닉 발동"""
tut_win_title#0,"""저스트 어택에 관하여"""
tut_win_text100#0,"""「저스트 어택」공격에 성공하면, <br>통상공격보다 큰 데미지를 줄 수 있습니다.<br><br><c 00ffff>붉은 원이 표시됐을 때 공격 버튼을 눌러<c><br>직후의 공격이 저스트 어택이 됩니다.<br><br><c 00ffff>※포톤 아츠나 테크닉도 유효합니다.<c><br><br><c ff3300>※「펫」의 공격에는 <br>\u3000저스트 어택이 없습니다.<c>"""
