name01#0,"""시에라"""
text01#0,"""제트부츠는 공격 중<br>무기액션을 실행하면<br><red>파생 공격<c>을 쓸 수 있어요!"""
text02#0,"""통상공격을 하는 도중에<br><red>무기액션 버튼<c>으로<br>파생공격을 쓸 수 있어요!"""
text101#0,"""과제4：<yellow>파생공격 발동"""
train_title#0,"""과제4：<yellow>파생공격 발동"""
tut_title#0,"""파생공격에 관하여"""
text100#0,"""・<%NormalAttack>로 통상공격<br>・통상공격 중 <%WeaponAction>로<br>\u3000무기액션"""
text100_3b#0,"""・<%NormalAttack>로 통상공격<br>・통상공격 중 <%MainPaletteC>로<br>\u3000무기액션"""
tut_win_title#0,"""파생공격에 관하여"""
tut_win_text100#0,"""제트 부츠의 통상공격과 PA는<br> 발동 시 무기액션을 사용하면<br>파생공격으로 변화합니다.<br><br>통상공격은「회전 킥」으로 변화합니다."""
tut_win_text101#0,"""일부 PA의 파생공격은<br>대응하는 테크닉을 습득했다면<br>자동으로 차지 테크닉이 발동합니다."""
