name01#0,"""시에라"""
text01#0,"""<red>너클 기어<c>에 대해<br>설명 드릴게요!"""
text02#0,"""너클 기어는 연속공격으로<br>기어의 단계가 상승하고, <red>단계에 따라<br>공격 속도가<c>빨라져요."""
text03#0,"""그럼, 연속공격을 구사해서<br><red>기어를 최대까지<c>올려 봐요."""
text101#0,"""과제3：<yellow>기어를 최대로 올리기"""
train_title#0,"""과제3：<yellow>기어를 최대로 올리기"""
tut_title#0,"""『너클 기어』에 관하여"""
text100#0,"""・<%NormalAttack>통상공격으로 기어를 올리기"""
text100_3b#0,"""・<%NormalAttack>통상공격으로 기어를 올리기"""
tut_win_title#0,"""『너클 기어』에 관하여"""
tut_win_text100#0,"""클래스 스킬「너클 기어」를<br>습득하면 너클의 성능을<br>한 층 더 끌어올릴 수 있습니다.<br><br>공격을 이으면 기어2, 기어3로<br>상승합니다.<br><br>너클 기어의 단계에 따라<br>공격속도가 빨라집니다."""
