name01#0,"""시에라"""
text01#0,"""카운터는, 에너미의 공격을<br><red>타이밍에 맞춰 가드해서<c><br>공격을 무효화하고, 반격하는 거에요!"""
text02#0,"""헌터의 저스트 가드와<br>비슷하지만, 카운터는<br>더 <red>공격적인 방어수단<c>이라고 할 수 있죠."""
text03#0,"""에너미의 움직임을 잘 보고<br><red>카운터<c>를 해 보세요."""
text101#0,"""과제2：<yellow>카타나로 카운터를 3번 성공시키기"""
train_title#0,"""과제2：<yellow>카타나로 카운터를 3번 성공시키기"""
tut_title#0,"""카운터에 관하여"""
text100#0,"""・에너미의 공격에 맞기 직전<br>\u3000<%WeaponAction>로 가드"""
text100_3b#0,"""・에너미의 공격에 맞기 직전<br>\u3000<%MainPaletteC>로 가드"""
tut_win_title#0,"""카운터에 관하여"""
tut_win_text100#0,"""「카타나」를 장비 중일 때는,<br>무기액션 버튼을 누르는 동안 <br><c 00ffff>「가드」할 수 있습니다.<c><br><br>정면의 데미지를 경감할 수 있지만, <br>정면 이외의 공격은 가드할 수 없으니<br>주의해야 합니다."""
tut_win_text101#0,"""적에게 공격을 받기 직전에<br>타이밍에 맞춰『가드』를 실행하면<br>『카운터』가 발생해, 데미지를 0으로<br>만들고 반격 데미지를 줍니다."""
tut_win_text102#0,"""또한, 최대 기어 상태에서 카운터를 성공하면<br>일정시간 공격력과 크리티컬률에<br>보너스를 얻을 수 있습니다."""
