name01#0,"""시에라"""
text01#0,"""<red>스타일리쉬 롤<c>에 대해<br>설명 드릴게요!"""
text02#0,"""트윈 머신건을 장비했을 땐<br><red>무기액션으로 회피행동인<br>스타일리쉬 롤<c>이 나가요."""
text03#0,"""바로 스타일리쉬 롤을<br>써 보도록 해요."""
text101#0,"""과제2：<yellow>스타일리쉬 롤 3번 실행"""
train_title#0,"""과제2：<yellow>스타일리쉬 롤 3번 실행"""
tut_title#0,"""『스타일리쉬 롤』에 관하여"""
text100#0,"""・<%WeaponAction>로 스타일리쉬 롤<br>\u30003번까지 연속 사용 가능"""
text100_3b#0,"""・<%MainPaletteC>로 스타일리쉬 롤<br>\u30003번까지 연속 사용 가능"""
tut_win_title#0,"""『스타일리쉬 롤』에 관하여"""
tut_win_text100#0,"""트윈 머신건을 장비한 동안에는<br>무기액션을 발동할 수 있습니다.<br><br>스타일리쉬 롤은 회피성능이 있으며,<br>언제나 쓸 수 있습니다."""
