name01#0,"""시에라"""
text01#0,"""그럼, <red>파르티잔 기어<c>에 대해<br>설명 드릴게요!"""
text02#0,"""파르티잔 기어는 기어를 1단계만큼<br>소비해서 <red>포톤 아츠의 위력과<br>범위를 상승<c>시키는 효과가 있어요."""
text03#0,"""파르티잔 기어는, 공격 후<red>「춤」이나<br>가드<c>를 유지하는 걸로 올릴 수 있어요!"""
text04#0,"""그럼, <red>기어를 1단계 이상<c>으로 올리고<br>포톤 아츠를 써 보도록 해요."""
text101#0,"""과제5：<yellow>기어를 1단계 이상 올린 뒤 포톤 아츠 발동"""
train_title#0,"""과제5：<yellow>기어를 1단계 이상 올린 뒤 포톤 아츠 발동"""
tut_title#0,"""파르티잔 기어에 관하여"""
text100#0,"""・<%WeaponAction> 혹은 통상공격 후<br>\u3000「춤」으로 기어를 1단계 이상 올리기<br>・<%PhotonArts>로 포톤 아츠 발동"""
text100_3b#0,"""・<%MainPaletteC> 혹은 통상공격 후<br>\u3000「춤」으로 기어를 1단계 이상 올리기<br>・<%PhotonArts>로 포톤 아츠 발동"""
tut_win_title#0,"""『파르티잔 기어』에 관하여"""
tut_win_text100#0,"""클래스 스킬「파르티잔 기어」를<br>습득하면 파르티잔의 성능을<br>한 층 더 끌어올릴 수 있습니다.<br><br>공격 후 「춤」 혹은<br>「가드」를 유지하는 것으로 기어가 상승하며<br>1단계마다 스택으로서 저장됩니다.<br><br>스택된 기어는<br>포톤 아츠를 사용할 때마다 소비되어<br>포톤 아츠의 위력과 범위를<br>상승시키는 효과가 있습니다."""
