name01#0,"""시에라"""
text01#0,"""그럼, <red>브레이브 스탠스<c>에 대해<br>설명 드릴게요!"""
text02#0,"""브레이브 스탠스는 에너미의<br><red>전방에서 공격하면 데미지가 증가<c>하는<br>스킬이에요."""
text03#0,"""그럼, 브레이브 스탠스로<br>에너미 정면에서 쓰려트려 봐요."""
text101#0,"""과제4：<yellow>브레이브 스탠스로 적을 토벌"""
train_title#0,"""과제4：<yellow>브레이브 스탠스로 적을 토벌"""
tut_title#0,"""『브레이브 스탠스』에 관하여"""
text100#0,"""・에너미를 정면에서 공격해 쓰러트리기"""
text100_3b#0,"""・에너미를 정면에서 공격해 쓰러트리기"""
tut_win_title#0,"""『브레이브 스탠스』에 관하여"""
tut_win_text100#0,"""브레이브 스탠스가 유효할 경우,<br>에너미의 정면에서 주는 데미지가<br>증가합니다.<br><br>뒤에서 공격할 경우 주는 데미지가<br>감소합니다."""
