name01#0,"""시에라"""
11_voice_train_04001#0,"""안녕하세요!<br>이번에는「파이터의 기초」에<br>관해 훈련하도록 해요!"""
text02#0,"""<red>트윈 대거 기어<c>에 관하여<br>설명 드릴게요!"""
text03#0,"""트윈 대거 기어의 단계가 오르면<br><red>포톤 아츠가 강화<c>돼요!"""
text04#0,"""그럼, <red>기어를 2단계 이상<c>으로 올리고<br>포톤 아츠를 써 보도록 해요."""
text101#0,"""과제1：<yellow>기어를 2단계 이상 올린 뒤 포톤 아츠 발동"""
train_title#0,"""과제1：<yellow>기어를 2단계 이상 올린 뒤 포톤 아츠 발동"""
tut_title#0,"""『트윈 대거 기어』에 관하여"""
text100#0,"""・<%Jump>점프 혹은 <%WeaponAction> 스핀으로 기어를 2단계 이상 올리기<br>・<%PhotonArts>로 포톤 아츠 발동"""
text100_3b#0,"""・<%Jump>점프 혹은 <%MainPaletteC> 스핀으로 기어를 2단계 이상으로 올리기<br>・<%PhotonArts>로 포톤 아츠 발동"""
tut_win_title#0,"""『트윈 대거 기어』에 관하여"""
tut_win_text100#0,"""클래스 스킬「트윈 대거 기어」를<br>습득하면 트윈 대거의 성능을<br>한 층 더 끌어올릴 수 있습니다.<br><br>발도 상태에서 점프나 스핀하면<br>기어가 상승합니다.<br><br>트윈 대거 기어의 단계에 따라<br>포톤 아츠의 위력이 강화됩니다."""
