name01#0,"""시에라"""
text01#0,"""그럼, <red>와이즈 스탠스<c>에 관하여<br>설명 드릴게요!"""
text02#0,"""와이즈 스탠스는 에너미의<red>후방에서<br>공격하면 주는 데미지가 증가<c>하는<br>스킬이에요."""
text03#0,"""그럼, 와이즈 스탠스을 발동하고<br>에너미를 뒤에서 쓰러트려 봐요."""
text101#0,"""과제5：<yellow>와이즈 스탠스로 적을 토벌"""
train_title#0,"""과제5：<yellow>와이즈 스탠스로 적을 토벌"""
tut_title#0,"""『와이즈 스탠스』에 관하여"""
text100#0,"""・서브팔레트에서 와이즈 스탠스를 발동<br>・에너미를 뒤에서 공격해 쓰러트리기"""
text100_3b#0,"""・서브팔레트에서 와이즈 스탠스를 발동<br>・에너미를 뒤에서 공격해 쓰러트리기"""
tut_win_title#0,"""『와이즈 스탠스』에 관하여"""
tut_win_text100#0,"""와이즈 스탠스를 발동하면<br>에너미의 뒤에서 주는 데미지가<br>증가합니다.<br><br>정면에서 공격할 경우 주는 데미지가<br>감소합니다."""
