name01#0,"""시에라"""
text01#0,"""<red>존딜<c>에 대해<br>설명 드릴게요!"""
text02#0,"""존딜은 뇌속성 테크닉으로,<br><red>전자장을 발생시켜서 에너미를<br>한 곳에 모을 수<c>있어요."""
text03#0,"""그럼, 존딜을 써서 <br>에너미를 끌어당겨 보세요!"""
text101#0,"""과제4：<yellow>존딜로 에너미를 한 곳에 모으기"""
train_title#0,"""과제4：<yellow>존딜로 에너미를 한 곳에 모으기"""
tut_title#0,"""『존딜』에 관하여"""
text100#0,"""・<%PhotonArts>로 에너미를 끌어당기는<br>\u3000존딜 발동"""
text100_3b#0,"""・<%PhotonArts>로 에너미를 끌어당기는<br>\u3000존딜 발동"""
tut_win_title#0,"""『존딜』에 관하여"""
tut_win_text100#0,"""존딜은<br>전자장을 발생시켜<br>에너미를 중심으로 끌어모으는<br>뇌속성 테크닉입니다.<br><br>일정시간 발동한 곳에 남으며,<br>에너미 꾸준히 끌어당깁니다.<br><br>자신의 존딜 발생중<br>다른 뇌속성 테크닉을 존딜에<br>사용하면  폭발하고 소멸합니다."""
