Title#0,"""히어로의 기초"""
Explanation#0,"""과제 1: 소드 홀드 파생 공격 사용<br>과제 2: 소드 기탄과 차지 기탄<br>과제 3: 트윈 머신건 사용<br>과제 4: 트윈 머신건 리로드<br>과제 5: 탈리스 일반 공격과 PA<br>과제 6: 탈리스 PA 조합<br>과제 7: 탈리스 무기 액션 고속 이동<br>과제 8: 히어로 기어 모으기<br>과제 9: 히어로 타임 피니시<br>과제 10: 실전 훈련"""
SimpleExplanation#0,"""10개의 과제를 달성하라!"""
Training1#0,"""파생 공격을 에너미에게 맞힌다"""
Training2#0,"""기탄을 에너미에게 맞힌다"""
Training2_1#0,"""차지 기탄을 에너미에게 맞힌다"""
Training3#0,"""일반 공격으로 에너미를 섬멸한다"""
Training4#0,"""2초 동안 리로드한다"""
Training4_1#0,"""2초 동안 저스트 리로드한다"""
Training5#0,"""일반 공격 3단째를 에너미에게 맞힌다"""
Training5_1#0,"""제트 휠을 맞힌다"""
Training6#0,"""탈리스 파생 액션을 발동한다"""
Training7#0,"""고속 이동을 3회 사용한다"""
Training8#0,"""히어로 기어를 모은다"""
Training9#0,"""히어로 타임 피니시를 발동한다"""
Training10#0,"""에너미를 섬멸한다"""
Retry_1#0,"""과제 1"""
Retry_2#0,"""과제 2"""
Retry_3#0,"""과제 3"""
Retry_4#0,"""과제 4"""
Retry_5#0,"""과제 5"""
Retry_6#0,"""과제 6"""
Retry_7#0,"""과제 7"""
Retry_8#0,"""과제 8"""
Retry_9#0,"""과제 9"""
Retry_10#0,"""과제 10"""
