name01#0,"""시에라"""
text01#0,"""듀얼 블레이드의<br>무기액션은<br><red>「포톤 블레이드」<c>를 만들어 내기도 해요."""
text02#0,"""무기액션을 써서<br>포톤 블레이드를<br>에너미에 맞춰 보세요."""
text101#0,"""과제3：<yellow>포톤 블레이드에 관하여"""
train_title#0,"""과제3：<yellow>포톤 블레이드에 관하여"""
tut_title#0,"""포톤 블레이드에 관하여"""
text100#0,"""・<%WeaponAction>로 포톤 블레이드를 에너미에<br>\u3000히트시키기"""
text100_3b#0,"""・<%MainPaletteC>로 포톤 블레이드를 에너미에<br>\u3000히트시키기"""
tut_win_title#0,"""『듀얼 블레이드 기어』에 관하여"""
tut_win_text100#0,"""클래스 스킬「듀얼 블레이드 기어」를<br>습득하면<br>메인 팔레트 위에<br>기어 게이지가 추가됩니다.<br><br>듀얼 블레이드의 공격을 히트시키면<br>기어 게이지를 채울 수 있습니다."""
tut_win_text101#0,"""무기액션을 사용하여<br>포톤 블레이드를 대상을 향해<br>발사할 수 있습니다.<br><br>포톤 블레이드를 꽂은 부위를<br>공격하면 추가로 PP가 회복되며,<br>기어 게이지의 충전량이 증가합니다."""
