Title#0,"""바운서의 기초"""
Explanation#0,"""■훈련 메뉴<br>――――――――――――――――――――<br>과제 1: 포톤 아츠 저스트 어택<br>과제 2: 무기 액션과 포톤 블레이드<br>과제 3: 무기 속성 덮어쓰기<br>과제 4: 파생 공격 사용<br>과제 5: 2단 점프 훈련<br>과제 6: 실전 훈련"""
SimpleExplanation#0,"""6개의 과제를 달성하라!"""
Training1#0,"""저스트 어택으로 PA를 성공시킨다"""
Training2#0,"""무기 액션을 사용한다"""
Training3#0,"""포톤 블레이드를 발동한다"""
Training4#0,"""포이에를 차지한다"""
Training4_1#0,"""기어를 모아 일반 공격한다"""
Training4_2#0,"""바타를 차지하고 일반 공격한다"""
Training5#0,"""파생 공격을 사용한다"""
Training6#0,"""목표 지점에 도달한다"""
Training7#0,"""에너미를 섬멸한다"""
Retry_1#0,"""과제 1"""
Retry_2#0,"""과제 2"""
Retry_3#0,"""과제 3"""
Retry_4#0,"""과제 4"""
Retry_5#0,"""과제 5"""
Retry_6#0,"""과제 6"""
Retry_7#0,"""과제 7"""
