name01#0,"""시에라"""
text01#0,"""그럼, <red>와이어드 랜스 기어<c>에 대해<br>설명 드릴게요!"""
text02#0,"""와이어드 랜스 기어는 기어를 1단계 만큼<br>소비해서<red>홀드계 포톤 아츠의<br>위력을 <c>올리는 효과가 있어요."""
text03#0,"""그럼, <red>기어를 1단계 이상<c>으로 올리고<br>포톤 아츠를 써 보도록 해요."""
text101#0,"""과제4：<yellow>기어를 1단계 이상 올린 뒤 포톤 아츠 발동"""
train_title#0,"""과제4：<yellow>기어를 1단계 이상 올린 뒤 포톤 아츠 발동"""
tut_title#0,"""와이어드 랜스 기어에 관하여"""
text100#0,"""・에너미를 공격해서 기어 1단계 이상 올리기<br>・<%PhotonArts>로 포톤 아츠 발동"""
text100_3b#0,"""・에너미를 공격해서 기어 1단계 이상 올리기<br>・<%PhotonArts>로 포톤 아츠 발동"""
tut_win_title#0,"""『와이어드 랜스 기어』에 관하여"""
tut_win_text100#0,"""클래스 스킬「와이어드 랜스기어」를<br>습득하면  와이어드 랜스의 성능을<br>한 층 더 끌어올릴 수 있습니다.<br><br>공격으로 기어가 상승하며<br>1단계마다 스택으로서 저장됩니다.<br><br>스택된 기어는<br>홀드계포톤 아츠를<br>사용할 때마다 소비되어<br>위력을 올리는 효과가 있습니다."""
