Title#0,"""팬텀의 기초"""
Explanation#0,"""과제 1: 스텔스 테크 차지<br>과제 2: 로드 무기 액션과 PA<br>과제 3: 로드 시프트 PA와 테크닉<br>과제 4: 카타나 무기 액션과 PA<br>과제 5: 카타나 시프트 PA 응용<br>과제 6: 라이플 무기 액션과 PA<br>과제 7: 라이플 시프트 PA 응용<br>과제 8: 팬텀 마커 사용<br>과제 9: 팬텀 타임 피니시<br>과제 10: 실전 훈련"""
SimpleExplanation#0,"""10개의 과제를 달성하라!"""
Training1#0,"""스텔스 테크 차지 상태가 된다"""
Training2_1#0,"""로드 무기 액션을 맞힌다"""
Training2_2#0,"""로드 PA를 사용한다"""
Training2_3#0,"""로드 시프트 PA를 사용한다"""
Training3_1#0,"""로드 시프트 PA 후 PA를 사용한다"""
Training3_2#0,"""테크닉 어택을 에너미에게 맞힌다"""
Training4_1#0,"""카타나 무기 액션을 맞힌다"""
Training4_2#0,"""카타나 PA를 사용한다"""
Training4_3#0,"""카타나 시프트 PA를 사용한다"""
Training5#0,"""카타나 시프트 PA 후 PA를 사용한다"""
Training6_1#0,"""라이플 무기 액션을 맞힌다"""
Training6_2#0,"""라이플 PA를 사용한다"""
Training6_3#0,"""라이플 시프트 PA를 사용한다"""
Training7#0,"""라이플 시프트 PA 후 PA를 사용한다"""
Training8_1#0,"""마커를 부여한다"""
Training8_2#0,"""마커를 기폭한다"""
Training9_1#0,"""팬텀 기어를 모은다"""
Training9_2#0,"""피니시를 발동한다"""
Training10#0,"""에너미를 섬멸한다"""
Retry_1#0,"""과제 1"""
Retry_2#0,"""과제 2"""
Retry_3#0,"""과제 3"""
Retry_4#0,"""과제 4"""
Retry_5#0,"""과제 5"""
Retry_6#0,"""과제 6"""
Retry_7#0,"""과제 7"""
Retry_8#0,"""과제 8"""
Retry_9#0,"""과제 9"""
Retry_10#0,"""과제 10"""
