name01#0,"""시에라"""
text01#0,"""<red>잔바스<c>에 관하여<br>설명 드릴게요!"""
text02#0,"""잔바스는 풍속성 테크닉으로,<br><red>설치한 범위 내에서 공격하면<br>풍속성 추격이 발생<c>해요.  """
text03#0,"""그럼, 잔바스를 설치해서<br>풍속성 추격을 발생시켜 봐요."""
text101#0,"""과제3：<yellow>잔바스의 추격을 발생시키기"""
train_title#0,"""과제3：<yellow>잔바스의 추격을 발생시키기"""
tut_title#0,"""『잔바스』에 관하여"""
text100#0,"""・<%PhotonArts>로 잔바스 발동<br>・<%NormalAttack>로 통상공격을 맞추면 풍속성 추격 발생"""
text100_3b#0,"""・<%PhotonArts>로 잔바스 발동<br>・<%NormalAttack>로 통상공격을 맞추면 풍속성 추격 발생"""
tut_win_title#0,"""『잔바스』에 관하여"""
tut_win_text100#0,"""잔바스는<br>범위 내에서 공격하면, 그 공격에<br>풍속성 추격을 발생시키는<br>테크닉입니다.<br><br>일정 시간 발동한 곳에 남으며<br>범위에 들어가면 효과를 받을 수 있습니다.<br><br>이 효과는 아군 전체가 받을 수<br>있습니다."""
