name01#0,"""시에라"""
text01#0,"""<red>더블 세이버 기어<c>에 대해<br>설명 드릴게요!"""
text02#0,"""더블 세이버 기어는 기어를<br>소비해서<red>카마이타치를 발생<c>시켜서<br>주변에 데미지를 줘요."""
text03#0,"""<red>기어를 1단계 이상<c> 올리고<br>카마이타치로 공격해 봐요."""
text101#0,"""과제2：<yellow>카마이타치 발생시키기"""
train_title#0,"""과제2：<yellow>카마이타치 발생시키기"""
tut_title#0,"""『더블 세이버 기어』에 관하여"""
text100#0,"""・에너미를 공격해 기어 1단계 이상 올리기<br>・<%WeaponAction>로 카마이타치 발생"""
text100_3b#0,"""・에너미를 공격해 기어 1단계 이상 올리기<br>・<%MainPaletteC>로 카마이타치 발생"""
tut_win_title#0,"""『더블 세이버 기어』에 관하여"""
tut_win_text100#0,"""클래스 스킬「더블 세이버 기어」를<br>습득하면 더블 세이버의 성능을<br>한 층 더 끌어올릴 수 있습니다.<br><br>공격하여 기어2, 기어3으로<br>상승합니다.<br><br>충전된 기어는 무기액션으로 사용할 수 있으며,<br>기어 단계에 따른「카마이타치」을 일으켜<br>주변을 공격할 수 있습니다."""
