msc_010130_0010#0,"""เอ้า นั่งลงก่อนสิ"""
msc_010130_0020#0,"""เอาล่ะ งั้นมาเริ่มอธิบายกันตั้งแต่ต้นเลยละกัน"""
msc_010130_0030#0,"""ฉันชื่อ กาโรอา เป็นผู้นำของเมืองนี้"""
msc_010130_0040#0,"""ส่วนนั่น ไอน่า ลูกสาวฉันเอง"""
msc_010130_0050#0,"""ดีจ้า!"""
msc_010130_0060#0,"""และที่อยู่ข้างๆ ก็คือ มาน่อน"""
msc_010130_0070#0,"""...สวัสดี"""
msc_010130_0080#0,"""เอาล่ะ เรื่องแรก... มาคุยกันก่อนว่าตอนนี้เธออยู่ที่ไหนกันแน่"""
msc_010130_0090#0,"""เราเรียกดาวดวงนี้ว่า ฮาลฟา (Halpha)"""
msc_010130_0100#0,"""และจุดที่เราอยู่บนดาวดวงนี้ ก็คือเมืองที่ชื่อว่า เอลิโอทาวน์ (Aelio Town)"""
msc_010130_0110#0,"""ถึงมันอาจจะไม่ได้ใหญ่โตขนาดจะเรียกว่า ทาวน์ (Town) ได้เต็มปากก็เถอะนะ ฮ่าๆ"""
msc_010130_0120#0,"""ขึ้นไปทางเหนือของที่นี่ จะมี เซ็นทรัลซิตี้ (Central City) ซึ่งเป็นเมืองที่ใหญ่ที่สุดบนดาวฮาลฟา"""
msc_010130_0130#0,"""สมกับชื่อเมืองนั่นแหละ มันเป็นศูนย์กลางของการปกครองและการค้าขายทั้งหมด สักวันเธอคงต้องได้เดินทางไปที่นั่นแน่ๆ"""
msc_010130_0131#0,"""ศัตรูพวกนั้นมันคืออะไรเหรอ?"""
msc_010130_0132#0,"""Meteorn งั้นเหรอ?"""
msc_010130_0133#0,"""ช่างมันเถอะ ไม่มีอะไร"""
msc_010130_0140#0,"""เอาล่ะ หัวข้อต่อไป..."""
msc_010130_0150#0,"""เรื่องของพวก DOLLS"""
msc_010130_0160#0,"""เจ้า Pedas Sword ที่เธอสู้ด้วยก่อนหน้านี้เหรอ? จริงๆ แล้วมันเป็นแค่พวกตัวเล็กๆ เท่านั้นเองนะ"""
msc_010130_0170#0,"""พวกเราชาวฮาลฟาต้องต่อสู้กับพวก DOLLS มาตั้งแต่จำความได้เลยล่ะ"""
msc_010130_0180#0,"""ถ้าจะให้ระบุเป็นตัวเลขล่ะก็ อืม... ขอคิดดูก่อนนะ..."""
msc_010130_0190#0,"""เขาว่ากันว่าน่าจะเกิน 500 ปีแล้วล่ะ"""
msc_010130_0200#0,"""ก็... ตามที่ว่ามานั่นแหละ"""
msc_010130_0210#0,"""แต่อย่างไรก็ตาม ยังมีอีกหลายเรื่องที่เราไม่รู้เกี่ยวกับพวก DOLLS เลย"""
msc_010130_0220#0,"""ทำไมพวกมันถึงโจมตีเรา? พวกมันมาจากไหนกันแน่? ไม่มีใครรู้เบาะแสอะไรเลยสักนิด"""
msc_010130_0240#0,"""แต่มีสิ่งหนึ่งที่ทุกคนรู้แน่ชัดก็คือ... DOLLS คือศัตรูของเรา ไม่ว่าจะเป็นตัวไหนก็ตาม"""
msc_010130_0250#0,"""ไหนๆ ก็คุยเรื่องลี้ลับแล้ว... เรื่องของพวก Meteorn อย่างเธอเองก็เป็นปริศนาเหมือนกันนะ"""
msc_010130_0260#0,"""เราเรียกคนที่ตกลงมาจากอวกาศด้วยแคปซูลแบบเดียวกับที่เธอตกลงมานั่นแหละว่า Meteorn"""
msc_010130_0270#0,"""มาน่อนที่นั่งอยู่ตรงนั้น เธอก็เป็น Meteorn เหมือนกับเธอนั่นแหละ"""
msc_010130_0280#0,"""มาน่อนปรากฏตัวที่นี่เมื่อประมาณ 6 เดือนก่อน ตกลงมาแถวๆ เกาะเดียวกับเธอนั่นล่ะ และตอนนี้เธอก็อาศัยอยู่กับพวกเราสองคนพ่อลูก"""
