name010#0,"""โบซีย์ (Bosey)"""
text010_A#0,"""โย่ว! ว่าไง? เป็นหมู่บ้านที่น่าอยู่ชะมัดเลย ใช่ไหมล่ะ?"""
text020_A#0,"""ถ้าอยากรู้ว่าอะไรอยู่ตรงไหน ถามฉันได้ตามสบายเลยนะ เข้าใจไหม?"""
text010#0,"""เฮ้ เธอเองเหรอ! เอ๊ะ? ได้ยินมาว่าฉันกำลังหาอะไรอยู่เหรอ?"""
text020#0,"""ก็ตามที่ได้ยินนั่นแหละ ฉันอยากจะให้อะไรเล็กๆ น้อยๆ เพื่อเป็นการต้อนรับซะหน่อยน่ะ เข้าใจไหม? แล้วฉันก็คิดว่า แถวๆ นี้น่าจะมีอะไรเหมาะๆ ให้เธออยู่พอดี!"""
text030#0,"""แล้วก็นึกขึ้นได้ ของขวัญที่เพอร์เฟกต์สุดๆ แต่ปัญหาคือ... ฉันดันลืมไปซะสนิทเลยว่าเอาไปวางทิ้งไว้ตรงไหน!"""
text040#0,"""ฉันจำได้ลางๆ ว่าเอาใส่ Item Container ไว้เมื่อพักใหญ่ๆ แล้วล่ะ..."""
text050#0,"""แต่ให้ตายสิ นึกยังไงก็นึกไม่ออกว่ากล่องไหน! โธ่เอ๊ย..."""
text060#0,"""นี่ฟังนะ! ฉันรู้ว่ามันควรจะเป็นฉันที่เป็นคนหามาให้เธอสิ แต่เธอพอจะช่วยฉันหาหน่อยได้ไหม?"""
text010_B#0,"""ว่าไง? คิดว่าจะหามันเจอไหม?"""
text010_C#0,"""เดินชมรอบหมู่บ้านเสร็จหรือยังล่ะ? ถ้าเสร็จแล้ว เธอก็น่าจะกลับไปที่บ้านของกาโรอาได้แล้วนะ"""
text011_C#0,"""เดินชมรอบหมู่บ้านเสร็จหรือยังล่ะ?"""
text020_C#0,"""ถ้ายังมีใครที่เธอยังไม่ได้คุยด้วย ก็ลองไปแนะนำตัวดูสิ"""
text030_C#0,"""ทุกคนตื่นเต้นมากเลยนะที่จะได้คุยกับเธอ แถมพวกเขาน่าจะมีคำแนะนำดีๆ ให้ด้วย"""
text040_C#0,"""แต่ถ้าเธอผูกมิตรจนพอใจแล้ว เธอก็น่าจะกลับไปที่บ้านของกาโรอาได้แล้วล่ะ"""
text010_D#0,"""เอาล่ะ ลองสวมใส่มันดูเลยสิ!"""
textR01#0,"""...เดี๋ยว ว่าไงนะ? เธอเจอมันแล้วงั้นเหรอ?!"""
textR02#0,"""นั่นแหละชุดเกราะที่ฉันอยากจะให้เธอ! เอ้า ลองใส่ดูสิว่าพอดีตัวไหม!"""
