name_7211#0,"""Xiandy"""
ssn_019020_002_0001#0,"""Thank you for coming. I'd like to reintroduce myself."""
ssn_019020_002_0002#0,"""I'm Xiandy. I'm studying the various peculiar phenomena that occur on Halpha."""
ssn_019020_002_0003#0,"""I contacted you as I'd like your assistance with my investigations into these phenomena."""
ssn_019020_002_0004#0,"""Thank you very much for coming."""
ssn_019020_002_0005#0,"""I'd like you to do some research for me again..."""
ssn_019020_002_0101#0,"""Do you know of the Regional Mags? They tend to change their appearance at this time of year."""
ssn_019020_002_0102#0,"""There are also Gathering Materials that are only obtainable at this time..."""
ssn_019020_002_0103#0,"""I want to learn what effects those materials might have if given to Regional Mags in their current state."""
ssn_019020_002_0104#0,"""Firstly, could you collect these materials?"""
ssn_019020_002_0105#0,"""We have special rewards prepared in return for your help."""
ssn_019020_002_0106#0,"""I'll leave the rest to you."""
ssn_019020_002_0006#0,"""Welcome back! Thanks to you, we have obtained some great data."""
ssn_019020_002_0007#0,"""Though many mysteries surround the Regional Mags, this data will help us decipher them."""
ssn_019020_002_0008#0,"""Other researchers look to be interested in your work as well."""
ssn_019020_002_0009#0,"""I'll introduce you to them next time!"""
ssn_019020_002_0010#0,"""Thank you very much for helping us on this occasion."""
ssn_019020_002_0011#0,"""You can exchange your points for rewards, so let me know if there's anything you need."""
ssn_019020_002_0012#0,"""Your continued assistance with our surveys and research would be greatly appreciated."""
ssn_019020_002_0013#0,"""I look forward to continuing to work with you."""
ssn_019020_002_0014#0,"""We are carefully investigating the enemy's recent changes."""
ssn_019020_002_0015#0,"""Any data you can get would be greatly appreciated, no matter now trivial."""
npc_menu_0001#0,"""Accept Event Tasks"""
npc_menu_0002#0,"""Exchange Seasonal Points for Items"""
npc_menu_0003#0,"""Ask about the Seasonal Event"""
npc_menu_0004#0,"""Close Menu"""
npc_menu_0005#0,"""About Seasonal Events"""
npc_menu_0006#0,"""About Seasonal Enemies"""
npc_menu_0007#0,"""About Seasonal Event Characters"""
npc_menu_0008#0,"""About Additional Daily/Weekly Tasks"""
npc_menu_0009#0,"""About Mischief Symbols"""
npc_menu_0010#0,"""About Seasonal Gathering"""
npc_menu_0011#0,"""About Seasonal Regional Mags"""
npc_menu_0012#0,"""Never mind"""
