Title#0,"""T:별빛을 삼키는 어둠의 광연"""
Explanation#0,"""오라클 우주 영역의 여러 행성과<br>아크스 쉽 시가지에서<br>이세계 오메가의 다크 펄스와 비슷한<br>적대 반응이 확인됐다.<br>각자 즉시 출격해 사태를 진압하라.<br>매우 위험하므로 제한 시간 내에<br>임무를 완수해야 한다.<br>――――――――――――――――――――<br>제한 시간/20분<br>최대 대미지 제한/999999<br>최심부 에너미 격파 시 클리어"""
SimpleExplanation#0,"""적대 반응을 섬멸하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
Area0S#0,"""【가면】 반응 좌표 부근"""
Area0L#0,"""오라클 우주 영역\u3000【가면】 반응 좌표 부근"""
Area1S#0,"""행성 나베리우스 유적"""
Area1L#0,"""행성 나베리우스 유적"""
Area2S#0,"""행성 워팔\u3000부상 시설"""
Area2L#0,"""행성 워팔\u3000부상 시설"""
Area3S#0,"""행성 리리파\u3000채굴 기지"""
Area3L#0,"""행성 리리파\u3000채굴 기지"""
Area4S#0,"""행성 하루코탄\u3000흑의 영역"""
Area4L#0,"""행성 하루코탄\u3000흑의 영역"""
Area5S#0,"""아크스 쉽\u3000시가지"""
Area5L#0,"""아크스 쉽\u3000시가지"""
Area6S#0,"""【가면】 반응 좌표 부근"""
Area6L#0,"""오라클 우주 영역\u3000【가면】 반응 좌표 부근"""
Area11S#0,"""행성 나베리우스 유적"""
Area11L#0,"""행성 나베리우스 유적"""
Area12S#0,"""행성 워팔\u3000부상 시설"""
Area12L#0,"""행성 워팔\u3000부상 시설"""
Area13S#0,"""행성 리리파\u3000채굴 기지"""
Area13L#0,"""행성 리리파\u3000채굴 기지"""
Area14S#0,"""행성 하루코탄\u3000흑의 영역"""
Area14L#0,"""행성 하루코탄\u3000흑의 영역"""
Area15S#0,"""아크스 쉽\u3000시가지"""
Area15L#0,"""아크스 쉽\u3000시가지"""
NpcComMsg1#0,"""지금부터 오라클에 출현한<br>오메가의 다크 펄스 세력<br>소탕 작전을 시작합니다."""
NpcComMsg2#0,"""현재 각 다크 펄스가<br>오라클의 여러 행성을 상대로<br>총공격을 벌이고 있습니다."""
NpcComMsg3#0,"""여러분은 유격대로서 각 행성을 돌며<br>이들을 격퇴해 주세요.<br>힘든 작전이 되겠지만 무운을 빕니다!"""
