Title#0,"""Revelry of Darkness"""
Explanation#0,"""オラクル宙域における複数の惑星<br>およびアークスシップ市街地において<br>非常に強い敵性反応が確認された。<br>敵勢力は、異世界オメガで撃破した<br>ダークファルスの反応と極めて類似しており<br>【仮面】の残滓との関係性が疑われる。<br>各員は直ちに出撃し、事態の鎮圧をはかれ。<br>――――――――――――――――――――<br>最大与ダメージ制限/999999<br>最深部に出現するエネミーの撃破でクリア"""
SimpleExplanation#0,"""Defeat the Enemy Readings!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
Area1S#0,"""Planet Naberius: Ruins"""
Area1L#0,"""Planet Naberius: Ruins"""
Area2S#0,"""Planet Wopal: Floating Facility"""
Area2L#0,"""Planet Wopal: Floating Facility"""
Area3S#0,"""Planet Lillipa: Mining Base"""
Area3L#0,"""Planet Lillipa: Mining Base"""
Area4S#0,"""Planet Harkotan: Kuron Area"""
Area4L#0,"""Planet Harkotan: Kuron Area"""
Area5S#0,"""ARKS Ship: Urban Area"""
Area5L#0,"""ARKS Ship: Urban Area"""
Area11S#0,"""Planet Naberius: Ruins"""
Area11L#0,"""Planet Naberius: Ruins"""
Area12S#0,"""Planet Wopal: Floating Facility"""
Area12L#0,"""Planet Wopal: Floating Facility"""
Area13S#0,"""Planet Lillipa: Mining Base"""
Area13L#0,"""Planet Lillipa: Mining Base"""
Area14S#0,"""Planet Harkotan: Kuron Area"""
Area14L#0,"""Planet Harkotan: Kuron Area"""
Area15S#0,"""ARKS Ship: Urban Area"""
Area15L#0,"""ARKS Ship: Urban Area"""
NpcComMsg1#0,"""これより、オラクルに出現した<br>オメガのダークファルス勢力の<br>掃討作戦を開始します。"""
NpcComMsg2#0,"""現在、各ダークファルスは<br>オラクルの各惑星に対し総力を持って<br>攻撃を仕掛けています。"""
NpcComMsg3#0,"""みなさんは、遊撃隊として各惑星を<br>転戦しこれの撃退をお願いします。<br>厳しい作戦になると思います。ご武運を！"""
