a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""T:A Boisterous White Day 2020"""
Explanation#0,"""惑星アムドゥスキア、壊世区域の<br>ホワイトデーイベント会場周辺で<br>多数の凶暴なエネミーが突如出現し<br>会場へ急接近中との報告が入った。<br>設営中の人員に被害が及ばないよう<br>アークス各員は準備ができ次第出撃し<br>会場周辺の安全を確保せよ。<br>――――――――――――――――――――<br>Failure: Fail objective, time limit expires."""
NpcComMsg1#0,"""まもなく転送を開始します。<br>今回の目的は、壊世区域に出現した<br>多数のエネミーの撃退です。"""
NpcComMsg2#0,"""確認されたエネミーの反応は<br>イベント会場になおも接近中。<br>早急な対応が求められます。"""
NpcComMsg3#0,"""会場周辺へ先行したアークスたちは<br>すでに交戦中とのことです。<br>協力して事態の鎮圧をお願いします！"""
SimpleExplanation#0,"""Head for the final area!"""
