ssc_011050_0010#0,"""พ่อชอบวิวจากบนนี้มากเลยล่ะ"""
ssc_011050_0020#0,"""ฉันชื่นชมเขามาตลอดเลยนะ เขาทำให้ฉันรู้สึกปลอดภัยมาก ฉันภูมิใจมากเลยที่ได้เป็นลูกสาวของเขา"""
ssc_011050_0030#0,"""เธอคิดว่าไงล่ะ? ที่จะใช้สิ่งนี้เป็นหลักฐานว่าพ่อของฉันและพวกพ้องของเขาเคยต่อสู้ที่นี่น่ะ?"""
ssc_011050_0040#0,"""มันสมบูรณ์แบบมากเลยล่ะ"""
ssc_011050_0050#0,"""ฉันมั่นใจว่าพวกเขาจะต้องชอบมันแน่ๆ"""
ssc_011050_0060#0,"""งั้นเหรอ? งั้นก็ตกลงตามนี้แหละ!"""
ssc_011050_0070#0,"""เธอคิดงั้นเหรอ? ดีใจจังเลย"""
ssc_011050_0080#0,"""นี่ ขอบใจนะที่มาเป็นเพื่อนฉันในวันนี้"""
ssc_011050_0090#0,"""นี่ไม่ใช่ของรางวัลอะไรหรอกนะ แค่ของแทนคำขอบคุณจากฉันน่ะ รับไปสิ"""
ssc_011050_0100#0,"""ฉันต้องพยายามให้เต็มที่ต่อไปแล้วล่ะ ไม่งั้นพ่อต้องบ่นฉันหูชาแน่ๆ"""
ssc_011050_0110#0,"""เพราะงั้นพวกเรามาคอยผลักดันกันและกันต่อไปเถอะ!"""
