a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
Area0S#0,"""Aelio Grasslands"""
Area0L#0,"""Aelio Grasslands"""
Title#0,"""Mining Rig Defense: Aelio"""
Explanation#0,"""We've received a distress call from a mining unit operating on Halpha Grasslands.<br>The high number of enemy readings nearby indicates they've come under a large-<br>scale attack. All ARKS are to intercept and defend the Resource Mining Rigs.<br>――――――――――――――――――――――――――――――――――――――<br>Clear limit: $(0) time(s) <yellow>(shared among all simultaneous Emergency Quests)<c>"""
SimpleExplanation#0,"""Defend the Resource Mining Rigs!"""
Nav000#0,"""Wave $(0) enemy readings at <yellow>50%<c>."""
Nav001#0,"""Wave $(0) enemy readings at <yellow>20%<c>."""
Nav002#0,"""防衛対象がダメージを受けたときは、<br><yellow>フォトンリカバー<c>で回復する。"""
Nav003#0,"""状況が悪化したときは、<br><yellow>モバイルキャノン<c>でエネミーを殲滅する。"""
Nav004#0,"""防衛対象がダメージを受けたときは、<br><yellow>フォトンリカバー<c>で回復する。"""
Nav005#0,"""状況が悪化したときは、<br><yellow>モバイルキャノン<c>でエネミーを殲滅する。"""
Nav006#0,"""防衛対象がダメージを受けたときは、<br><yellow>フォトンリカバー<c>で回復する。"""
Nav007#0,"""状況が悪化したときは、<br><yellow>モバイルキャノン<c>でエネミーを殲滅する。"""
Nav008#0,"""防衛対象がダメージを受けたときは、<br><yellow>フォトンリカバー<c>で回復する。"""
Nav009#0,"""状況が悪化したときは、<br><yellow>モバイルキャノン<c>でエネミーを殲滅する。"""
Nav010#0,"""防衛対象がダメージを受けたときは、<br><yellow>フォトンリカバー<c>で回復する。"""
Nav011#0,"""状況が悪化したときは、<br><yellow>モバイルキャノン<c>でエネミーを殲滅する。"""
Nav012#0,"""防衛対象がダメージを受けたときは、<br><yellow>フォトンリカバー<c>で回復する。"""
Nav013#0,"""状況が悪化したときは、<br><yellow>モバイルキャノン<c>でエネミーを殲滅する。"""
Nav014#0,"""防衛対象への攻撃が激しいときは、<br><yellow>バリアシールド<c>で防ぐ。"""
Nav015#0,"""大型エネミーは、<br>他プレイヤーと協力して優先的に排除する。"""
Nav016#0,"""<yellow>バリゲール<c>のバリアフェンスは、<br><yellow>３つのコア<c>を破壊することで無力化できる。"""
Nav017#0,"""固定砲台の<yellow>ウェーブラム<c>は、<br>出現から攻撃開始までに猶予がある。"""
Nav018#0,"""<yellow>クリンギル<c>は、<br>防衛対象に取りついてダメージを与えてくる。"""
Nav019#0,"""<yellow>エンハンスドエネミー<c>は、<br><yellow>エンハンサー<c>を先に破壊する。"""
Nav020#0,"""クエストクリア"""
Nav021#0,"""クエストクリア"""
Nav022#0,"""クエストクリア"""
Nav023#0,"""クエストクリア"""
Nav101#0,"""エネミーの出現地点には、<yellow>Ｅマーカー<c>が表示される。"""
Nav102#0,"""<yellow>クリンギル<c>は、<br>防衛対象に取りついて、<br>断続的にダメージを与えてくる。"""
Nav103#0,"""固定砲台の<yellow>ウェーブラム<c>は、<br>エネルギー充填後に防衛対象を攻撃する。"""
Nav104#0,"""<yellow>クリンギル<c>や<yellow>ウェーブラム<c>は、<br>他プレイヤーと協力して優先的に排除する。"""
Nav105#0,"""大型エネミーの<yellow>範囲攻撃<c>に、<br>防衛対象を巻き込まないように注意する。"""
Nav106#0,"""大量のエネミーや強敵は、<br><yellow>モバイルキャノン<c>で殲滅する。"""
Nav107#0,"""さらに大規模な攻勢が予想される。<br>攻撃開始前に、<br><yellow>防衛対象の耐久値<c>を確認しておく。"""
Nav108#0,"""次の一群が最後の攻勢と見られる。<br>攻撃開始前に、<br><yellow>アキュームサインの残量<c>を確認しておく。"""
Nav202#0,"""<yellow>アキュームサイン<c>は、<br>Waveが進むにつれて獲得ポイントが増える。"""
Nav203#0,"""<yellow>コーリングデバイス<c>の各機能は、<br>各プレイヤーが一度だけ使用できる。"""
Nav204#0,"""防衛対象に取りつく<yellow>クリンギル<c>は、<br><yellow>バリアシールド<c>で排除できる。"""
Nav205#0,"""<yellow>モバイルキャノン<c>の装備中は、<br>移動速度が低下するが、<br><yellow>ブーストグライダー<c>で素早く動ける。"""
Nav206#0,"""レーダーマップで<br>他プレイヤーの位置を把握し、<br>連携して戦えるようにする。"""
Nav207#0,"""エネミーの出現地点を予測して、<br><yellow>待ち構えておく<c>と<br>戦いを有利に進められる。"""
Nav208#0,"""エネミーは、<br>出現から一定時間が経過すると、<br><yellow>防衛対象を集中的に狙う<c>ようになる。"""
