msc_021100_0010#0,"""무사히 잘 돌아왔어."""
msc_021100_0020#0,"""…브루더는 치료 중이야."""
msc_021100_0030#0,"""하지만 다행히 상처가 깊지 않아.<br>곧 복귀할 수 있을 거야."""
msc_021100_0040#0,"""…다행이야."""
msc_021100_0050#0,"""그래서,<br>…다른 아크스들은?"""
msc_021100_0060#0,"""…소용없었어."""
msc_021100_0070#0,"""…그, 그렇구나…."""
msc_021100_0080#0,"""저게, 스타레스… 인가."""
msc_021100_0090#0,"""교전한 2부대가 전멸….<br>게다가 저 브루더까지…."""
msc_021100_0100#0,"""…아무래도 상대는<br>이쪽이 어찌 되든 상관이 없나 보네."""
msc_021100_0110#0,"""하지만, 이걸로 스타레스가<br>새로운 위협이 될 거라고 확정이야."""
msc_021100_0120#0,"""요격 준비를 서둘러야겠어."""
msc_021100_0130#0,"""…아까 얘기가 끊어졌지만,<br>네 앞으로의 행보에 관해 얘기하게 해줘."""
msc_021100_0140#0,"""너에게는 앞으로의 싸움에 대해<br>아크스 모두의 \""상징\""이 되어주길 바라."""
msc_021100_0150#0,"""상징?"""
msc_021100_0160#0,"""무슨 뜻이야?"""
msc_021100_0170#0,"""지금까지의 전투에서 결정적인 장면, 결정적인 순간.<br>그곳엔 반드시 네 모습이 있었어."""
msc_021100_0180#0,"""이번에 스타레스를 격파할 수 있었던 것도,<br>네 활약이 컸어."""
msc_021100_0190#0,"""그래서 너에게는 이 할파를 지켜주는 존재…."""
msc_021100_0200#0,"""\""가디언\""이 되어줬으면 좋겠다고 생각해."""
msc_021100_0210#0,"""…라곤 해도,<br>네게 부탁할 건 크게 다르지 않아."""
msc_021100_0220#0,"""여태까지 그랬듯이, 적을 쓰러뜨려,<br>어려운 사람을 도와주었으면 해."""
msc_021100_0230#0,"""그런 너의 활약이 우리의 희망이 돼."""
msc_021100_0240#0,"""그래서, 뭐가 바뀌는 거야?"""
msc_021100_0250#0,"""이름만 바뀐다는 거야?"""
msc_021100_0260#0,"""호칭이라는 것은 상당히 중요한 거야."""
msc_021100_0270#0,"""우리의 생각을 멋대로 강요해서,<br>성가실지도 몰라."""
msc_021100_0280#0,"""하지만, 너에겐 그런 큰 역할을 맡기고 싶어."""
msc_021100_0290#0,"""알았어. 맡겨둬."""
msc_021100_0300#0,"""…노력은 해볼게."""
msc_021100_0310#0,"""고마워, 잘 부탁할게."""
msc_021100_0320#0,"""두 사람의 향후 임무에 대해서는 추후에 연락할게.<br>우선, 이번 전투의 분석을 서둘러야겠어."""
msc_021100_0330#0,"""아이나가 말했듯이, \""내일\""을 위해 힘내자."""
