name_7433#0,"""ドレイク"""
ssn_014750_0001#0,"""なんでも、大変な任務を<br>帯びてるらしいじゃない？"""
ssn_014750_0002#0,"""このキャンプのことは私たちに任せて、<br>キミは、そっちのほうを頑張ってね！"""
ssn_014750_0101#0,"""聞いて聞いて！<br>あのね、さっき空からなにか落ちてきたんだ。"""
ssn_014750_0102#0,"""もしかしたら、<br>“星渡り”なんじゃないかって思うんだけど……。"""
ssn_014750_0103#0,"""それが、ずっと気になってて、<br>仕事が手につかなくてさ。"""
ssn_014750_0104#0,"""ねえキミ、なにかのついででいいから、<br>落ちた場所を見に行ってもらえないかな？"""
ssn_014750_0201#0,"""あれは絶対、“星渡り”だと思うんだよ。<br>……きっと、……たぶん……。"""
ssn_014750_0202#0,"""落ちたっぽい場所を、<br>マグに送っておくから。よろしくね！"""
ssn_014750_0301#0,"""そっかぁ……。<br>任務があるから、仕方ないよね。"""
ssn_014750_0401#0,"""こうして私が見張っているから、<br>いつ“星渡り”が落ちてきたって見逃さないよ。"""
ssn_014750_0402#0,"""……でも、雪ばっかり見てると<br>目がチカチカしてきちゃうんだよねぇ……。"""
