st_051030_0001#0,"""A.P.241/9/23/10:30"""
st_051030_0010#0,"""【가면】은 【심원의 어둠】의<br>숙주가 된 채로<br>혼자서 그 지배에 맞서고 있어."""
st_051030_0020#0,"""부활한 【심원의 어둠】과<br>아크스가 싸워서, 힘을 깎아내면<br>【가면】이 시간을 거스른다."""
st_051030_0030#0,"""【심원의 어둠】의 부활 직전 시간까지<br>숙주인 자신까지 시간을 되돌린다.<br>그걸, 계속 반복하고 있어."""
st_051030_0040#0,"""……이대로 내버려 둘 수는 없어.<br>반드시 구해낼 거야.<br>그렇지, <%me>?"""
st_051030_0050#0,"""【가면】은【심원의 어둠】의 중추,<br>거기에 지금도 존재해.<br>그건 너희가 가장 잘 알 거야."""
st_051030_0060#0,"""【심원의 어둠】과의 연결을<br>끊어내지 않으면, 구출은 불가능해."""
st_051030_0070#0,"""구해낸다고 해도<br>【심원의 어둠】은 새로운 숙주를 갈구해서……<br>최악의 사태를 만들어버려."""
st_051030_0080#0,"""【가면】을 구해내기 위해서는<br>【심원의 어둠】을 없앨 수밖에 없어.<br>하지만, 그런 수단은 없었어."""
st_051030_0090#0,"""……지금까지는 그랬지."""
st_051030_0100#0,"""하지만, 수단을 만들어낼 수 있었어요!<br>히츠기 씨가 가진, 아메노무라쿠모에요!"""
st_051030_0110#0,"""사악을 걷어내고, 정화하는 칼!<br>한때 다크 펄스가 되어버린<br>알 군과 마더를 구해냈어요!"""
st_051030_0120#0,"""원리는 그것과 완전히 동일.<br>같은 일을 할 뿐이에요!"""
st_051030_0130#0,"""그녀의 일행의 협력도 있어서<br>아메노무라쿠모의 능력을 분석할 수 있었어.<br>재현도 되어 있어."""
st_051030_0140#0,"""<%me>.<br>네가 가진 【가면】과의 연결을<br>……그 무장을, 여기로."""
st_051030_0150#0,"""이 힘을, 너에게 맡길게.<br>이건, 네가 해야 할 일이니까."""
st_051030_0160#0,"""작전도 단순명쾌해.<br>【심원의 어둠】의 중추를<br><%me>가 벤다."""
st_051030_0170#0,"""그리고, 【가면】과【심원의 어둠】을<br>분단할 수 있다면……"""
st_051030_0180#0,"""둘이서, 깨워주는 거야.<br>너희 둘의 손으로."""
st_051030_0190#0,"""……응, 물론이야.<br>잔뜩, 잔뜩 이야기하고 싶은 것들도<br>있으니까."""
st_051030_0200#0,"""그렇지, <%me>!"""
