IncidentName#0,"""Defeat the [Primordial Darkness]"""
TrialBeginMsg#0,"""Defeat the [Primordial Darkness] hidden in the space-time rift!"""
TrialAbstract#0,"""Defeat the [Primordial Darkness]!"""
ToastMatoiBuffMsg#0,"""[Matoi's Prayer] HP, PP, and attack power have increased!"""
ToastHitsugiBuffMsg#0,"""[Hitsugi's Ambition] The enemy is stunned for a certain time!"""
ToastHarrietBuffMsg#0,"""[Harriet's Divinity] A large amount of damage has been dealt to the enemy!"""
NpcComOnBegin_1#0,"""/atime1.0 /voice11_voice_delicious_npcha_012 How unsettling...<br>So this is its true form..."""
NpcComOnGetAngry#0,"""/voice11_voice_delicious_npcha_014 Looks like it's getting serious from here on out. Stay alert, until the very end!"""
HP_Under_50_1#0,"""/voice11_voice_delicious_npchi_012 Don't give up! Let's keep going!"""
NpcComOnLastPhase#0,"""/voice11_voice_delicious_npcma_012 I won't let you do this alone!<br>I'll fight too!"""
NpcComOnBuffMatoi#0,"""/voice11_voice_delicious_npcma_013 Clarissa, please protect them!"""
NpcComOnBuffHitsugi#0,"""/voice11_voice_delicious_npchi_013 Help them out, Ame-no-Murakumo!"""
NpcComOnBuffHarriet#0,"""/voice11_voice_delicious_npcha_015 Oh Guardian, please receive this power!"""
HP_Under_10_1#0,"""/voice11_voice_delicious_npcma_016 Now! End it!"""
HP_Under_10_2#0,"""/voice11_voice_delicious_npchi_014 LET'S GOOO!"""
HP_Under_10_3#0,"""/voice11_voice_delicious_npcha_016 Now, Guardian!"""
NpcComOnPowerUp#0,"""/voice11_voice_delicious_npcma_014 Let's end this!"""
