11_voice_NPC_5118_100#0,"""ARKS members are so great! They're like knights in shining armor! I just wish that could be me."""
11_voice_NPC_5118_105#0,"""Grr... How can I learn to use Photons? There must be a way..."""
11_voice_NPC_5118_104#0,"""You're an ARKS op, and I'm not. It's funny, isn't it? We don't look all that different."""
11_voice_NPC_5118_108#0,"""Photons sometimes react to emotions, don't they? I wonder what that's like."""
Ulc_04_020#0,"""I think about Photons all the time. You'd think they'd have reacted to me by now, at least a little."""
11_voice_NPC_5118_100#1,"""Dreams can come true! That's what I believe. I won't give up on becoming an ARKS op!"""
11_voice_NPC_5118_100#2,"""I wonder if you've met my friend? He's the one always moping around. Look out for him for me, won't you?"""
11_voice_NPC_5118_105#1,"""Hm... There's got to be something. Oh, don't mind me. I was just trying to come up with a way to motivate someone."""
11_voice_NPC_5118_104#1,"""It would be easy for me to give up, but then my friend would probably give up, too."""
Ulc_08_020#0,"""He's always making things difficult for me, even though he's already an ARKS op! Well, nothing else for it. I just have to keep trying."""
11_voice_NPC_5118_101#0,"""You think I'm wasting my efforts? Fine by me! At least you recognize that I'm trying."""
11_voice_NPC_5118_101#1,"""Hey! I'm headed to another ARKS ship to transport supplies!"""
Ulc_10_020#0,"""It's my first time out in space. I'm pretty excited!"""
11_voice_NPC_5118_100#3,"""Have you heard about that pop idol who's causing a big fuss down in the residential area?"""
Ulc_11_020#0,"""I guess becoming a symbol like that is one way to raise morale."""
Ulc_11_030#0,"""Not like I have what it takes to do that myself. Not a chance. I'll find some way to make a difference, though."""
11_voice_NPC_5118_104#2,"""I know everyone's still in shock, but we can't let the past get us down."""
mb17_020#0,"""We live in the present, so it's time we start thinking about the future."""
mb17_030#0,"""A person's eyes are on the front side. That's because people need to face forward and walk forward. That's how it works, right? """
mb18_010#0,"""What do you think? I've been trying out a bunch of changes to the lobby. Doesn't it feel brighter already?"""
mb18_020#0,"""You can't change everything all at once, so I figured I'd start with something simple like the decor."""
mb18_030#0,"""It's slow going, but it's definitely lifting people's moods, so I'm going to keep at it!"""
mb19_010#0,"""カジノの評判は結構いいみたい！<br>誰かと話すキッカケにもなるし<br>自由気ままに遊べるしね！"""
mb19_020#0,"""とはいえ、変える所、変えたい所は<br>まだまだたくさんめいっぱい！<br>あれもこれもやってみたいなぁ。"""
11_voice_NPC_5118_101#2,"""忙しいけど、すごく楽しいよ！<br>前向きに頑張っていけば<br>結果は必ず出るはずだからね！"""
mb20_010#0,"""いやー、さすがに働きづめで<br>ちょっとくたびれてきちゃったかな。"""
11_voice_NPC_5118_100#4,"""でもまあ、やることがある<br>やりがいがあるってのはいいことだね。<br>それだけで頑張れる気がするもん。"""
11_voice_NPC_5118_104#3,"""いい計画を思いついたんだけど<br>正当性がどーのこーのって<br>結構ダメだしくらうのよねー。"""
mb21_020#0,"""ま、でもこうして諌めてくれる存在って<br>ありがたく思わないとだめだよね！"""
11_voice_NPC_5118_100#5,"""この前提案してみた企画なんだけど<br>結局、いろいろ突きつめてみたら<br>将来性も悪いし、なしになったよー。"""
mb22_020#0,"""元々の発想そのものはよかったんだけど<br>客観的に見てみたら、ちょっとねって。"""
mb22_030#0,"""いやーまだまだ、勉強不足だね。<br>頑張らないといけないなって思ったよ！"""
11_voice_NPC_5118_100#6,"""アークスに関する体制とかは<br>テオに相談したりしてるの。"""
mb23_020#0,"""想像で補えることと、補えないこと<br>いろいろあるからさ。<br>だからまずは、テオに相談してるんだ。"""
11_voice_NPC_5118_104#4,"""問題は山積みだからねー。<br>せめて動きやすくするのが<br>管理側の役目だと思うんだよね。"""
mb23_after_010#0,"""びっくりしたよー……<br>シャオくんの報告もそうだし<br>あなたが運ばれたってことも。"""
mb23_after_020#0,"""まずはゆっくり休まないとね！<br>不安とか悩みとかあるかもしんないけど<br>今は全部、無視だよ！"""
11_voice_NPC_5118_100#7,"""大丈夫、なんとかなるって！<br>だから今は、ゆっくり休んでね。<br>英気を養わないと！"""
mb24_010#0,"""大丈夫、絶対になんとかなるって。<br>アークス全員が、この事を知ってて<br>頑張ろうって思ってるんだよ。"""
mb24_020#0,"""みんな一生懸命、マトイちゃんを<br>探そうとしているし、あなたに<br>協力をしようとしてる。"""
11_voice_NPC_5118_100#8,"""こんなに一丸となったことって<br>無いはずだもん！<br>あなたは一人じゃない、大丈夫！"""
mb24_after_010#0,"""あなたなら大丈夫って<br>最初から信じてたけど<br>いざ、現実になると嬉しいよね！"""
11_voice_NPC_5118_100#9,"""しかもアークスがみんなで<br>協力してこの結果が出たんだもん。<br>やっぱ喜んじゃうよ！"""
11_voice_NPC_5118_104#5,"""今、シャオくんにいろいろと<br>教わっているんだけどさ……<br>いやー、大変だよ。"""
mb25_020#0,"""やっぱり量が多いのもあるし<br>勉強することも多いからね。<br>覚えることが多くってさ。"""
11_voice_NPC_5118_100#10,"""おかげで勉強漬けの毎日だよ。<br>ま、精一杯頑張るよ！"""
