st_010220_0080#0,"""……!"""
st_010220_0090#0,"""어이 어이 어이… 내키는대로 왔는데 가끔은 임무도 해볼만 하구만.<br>재밌는 그림이야."""
st_010220_0130#0,"""먹음직한 사냥감이 두 마리나 동시에…<br>크훗 크후후훗! 흐하하하하핫!"""
st_010220_0140#0,"""…어이 시나, 이 녀석들 누구야.<br>어디의 누구 누구야, 빨리 알아봐."""
st_010220_0150#0,"""네…"""
st_010220_0160#0,"""…? …저기, 겟템하르트님.<br>저쪽의 정보는 어디에도 없습니다."""
st_010220_0170#0,"""뭐라고?"""
st_010220_0180#0,"""…칫, 도망친 모양이군.<br>꽤나 즐거울 것 같았는데."""
st_010220_0190#0,"""…이, 이게 대체 뭐야…"""
st_010220_0200#0,"""야, 거기 너."""
st_010220_0210#0,"""네 넵!?"""
st_010220_0220#0,"""너 말고! 닥치고 구석에서 떨고 있어!"""
st_010220_0230#0,"""너 말이다 너.<br>아까 그 녀석, 너를 노리고 있었지? 저 녀석은 뭐하는 녀석이지?"""
st_010220_0240#0,"""모른다고 말한다"""
st_010220_0250#0,"""우선 감사를 표한다"""
st_010220_0260#0,"""모른다고…?<br>모른 척해도 나아지는 건 없다고?"""
st_010220_0270#0,"""…고맙다, 라고?<br>크훗 크후후훗! 흐하하하핫! 네놈 참 재밌는 녀석이구나!"""
st_010220_0280#0,"""그런 쓸데없는 말은 다카에게 쳐먹어버려!<br>그보다 저 녀석의 정보에 관한거다!"""
st_010220_0290#0,"""…흥, 그 모양새로 봐서는 정말 모르는 녀석이군."""
st_010220_0300#0,"""분위기는 좋지만… 약하군.<br>너와 한 판 뜨기에는 아직 이른 것 같군."""
st_010220_0310#0,"""…쳇, 갑자기 지루해졌다!<br>가자, 시나! 꾸물거리지 마!"""
st_010220_0320#0,"""네, 겟템하르트님."""
st_010220_0330#0,"""…그럼 <%me>님<br>실례하겠습니다."""
st_010220_om_0340#0,"""진짜, 대체 뭐라고 하는 거야.<br>뭐랄까, 갑자기 피곤해졌어."""
st_010220_om_0350#0,"""그런데 파트너. 전투 전부터<br>계속 저쪽 방향을 신경 쓰고 있었지?<br>무슨 일 있어?"""
st_010220_om_0360#0,"""…사람 목소리를 들었어?<br>도움을 요청하는 목소리라면<br>중요하겠지."""
st_010220_om_0370#0,"""…어떻게 할래? 가볼까?<br>파트너, 너에게 맡길게."""
st_010220_om_0001#0,"""A.P.238/2/20/12:00"""
linewindow001#0,"""아핀을 파트너로 부를 수 있게 되었습니다."""
skit01#0,"""The masked figure"""
skit02#0,"""제 1장  줄곧 내일을 기다리고 있었어"""
