un_045090_0010#0,"""엑, <%me><br>정말로 돌아왔어……!"""
un_045090_0020#0,"""봐요, 그런 느낌이 들었다니까요.<br>이제 믿어주시겠어요?"""
un_045090_0030#0,"""그런 느낌이라니……<br>나는 전혀 모르겠는데."""
un_045090_0040#0,"""아니 그게, 아까부터 비비안이<br>누가 올지 무서울 정도로<br>막 맞추더라고."""
un_045090_0050#0,"""<%me><br>냄새 같은 것도 딱히 없잖아?"""
un_045090_0060#0,"""그, 그런 게 아니라니까요.<br>감각이에요, 감각."""
un_045090_0070#0,"""감각이라니 무슨 말이야?"""
un_045090_0080#0,"""무슨 사기를 친 거야?"""
un_045090_0090#0,"""무슨, 이라고 물으시면<br>뭐라 말하기 어려운데요……<br>느낀다고 밖에 말할 방법이 없어서."""
un_045090_0100#0,"""사기 같은 게 아니라고요!<br>느끼는 거에요! 정말이에요!"""
un_045090_0110#0,"""그 사람의 존재감?<br>거기 있겠지, 같은 걸<br>공기가 알려준다고 할까……"""
un_045090_0120#0,"""……그러면 예를 들어서<br><%me>가<br>가까이 오면 어떤 느낌이야?"""
un_045090_0130#0,"""<%me> 씨는<br>그렇죠…… 엄청 커다란 느낌?<br>상냥하게 지켜봐주는 느낌이네요."""
un_045090_0140#0,"""커다란…… 느낌?<br>지켜봐주는…… 으~음……"""
un_045090_0150#0,"""…………안되겠다!<br>전~혀 모르겠어!"""
un_045090_0160#0,"""그렇게 서두르지 않아도<br>분명 에밀리아 씨도 언젠가<br>느낄 수 있어질 거에요."""
un_045090_0170#0,"""쳇, 누가 올지 미리 알 수 있으면<br>상대방에 따라 단정하게 준비하거나<br>숨거나 할 수 있어서 편할텐데~."""
un_045090_0180#0,"""……그런 비뚤어진 생각으로는<br>아마 평생 느낄 수 있게 되지<br>못할 거라 생각해요."""
