un_045100_0010#0,"""아, <%me>!<br>여러모로 협력해줘서 고마워!"""
un_045100_0020#0,"""덕분에 배도 잘 지킬 수 있었고<br>수리도 완벽해! 이제 괜찮아!"""
un_045100_0030#0,"""모르는 사이인 저희에게<br>처음부터 끝까지 도움을 주셔서<br>정말 감사드립니다."""
un_045100_0040#0,"""적어도 뭔가 답례라도 해드릴 수 있었다면하고<br>에밀리아 씨와 생각하고 있습니다만……"""
un_045100_0050#0,"""신경쓰지마"""
un_045100_0060#0,"""그 말로도 충분해"""
un_045100_0070#0,"""하~, 저 청렴함<br>내 파트너였던 사람이랑 똑 닮았어.<br>굉장하기도, 아까워보이기도……"""
un_045100_0080#0,"""하지만 그쪽이 답례가 필요 없다고 해도<br>이쪽은 빚을 졌다고 생각하고 있으니까!"""
un_045100_0090#0,"""이 은혜는 반드시 보답하겠습니다.<br>난처한 일이 생기면<br>언제든 불러주세요."""
un_045100_0100#0,"""좀만 있다가 돌아갈 생각이지만<br>여기 좌표나 그런 건<br>전부 기억해뒀거든!"""
un_045100_0110#0,"""언제든지 달려올 수 있도록 말이야!"""
un_045100_0120#0,"""짧은 기간이었지만<br>우리는 파트너였으니까!<br>사양 같은 거 절대로 안해도 돼!"""
un_045100_0130#0,"""정말로 감사합니다."""
un_045100_0140#0,"""고마워, 정말로."""
