11_voice_NPC_5151_100#0,"""너였나.<br>마침 잘 왔다."""
favs_before_020#0,"""이걸 건네주려 했다.<br>내게는 필요 없는 물건이지만<br>너에게는 도움이 될지도 모르지."""
favs_after_010#0,"""대단한 건 아니지만<br>늘 신세를 지고 있으니까."""
favs_after_020#0,"""그럼 이만."""
favs_present_010#0,"""사가에게서『포톤 스피어』를 받았습니다."""
favs_present_020#0,"""사가에게서『스트라이크 거스트』를 받았습니다."""
favs_present_030#0,"""사가에게서『엑스큐브』를 받았습니다."""
favs_present_040#0,"""사가에게서『익스트림 패스』를 받았습니다."""
favs_present_050#0,"""사가에게서『그랑 웨이브』를 받았습니다."""
favs_present_060#0,"""사가에게서『트라이 부스트 +50%』를 받았습니다."""
favs_present_070#0,"""사가에게서『강화 성공률 +10%』를 받았습니다."""
favs_present_080#0,"""사가에게서『강화 리스크 경감 (+2)』를 받았습니다."""
favs_present_090#0,"""사가에게서『능력 추가 성공률 +10%』를 받았습니다."""
favs_present_100#0,"""사가에게서『모멘트 게일』을 받았습니다."""
favs_present_add_001#0,"""사가에게서『<%skit_text>』를 받았습니다."""
skit01_010#0,"""바운서에 관한 일은<br>나와 옆에 있는 카토리에게<br>상담해라."""
skit01_020#0,"""나는 주로 제트 부츠를,<br>카토리는 듀얼 블레이드를<br>담당하고 있다."""
mb18_10#0,"""바운서는 다른 클래스에는 없는<br>중·근거리 전투와 범위 지원을 맡는<br>클래스로 인가되어 있다."""
11_voice_NPC_5151_100#1,"""하지만 아직 데이터가 부족해서<br>나와 카토리가 시험 운용을 맡고 있다.<br>앞으로도 잘 부탁하지."""
mb19_010#0,"""바운서는 근접 전투와 지원 활동이<br>주 역할인 클래스다.<br>경험이 풍부하면 활약할 수 있지."""
mb19_020#0,"""다른 클래스에는 없는 전투 방식이지만<br>바운서만이 할 수 있는 일이기도 하다.<br>기회가 되면 체험해 봐라."""
mb20_010#0,"""제트 부츠의 특징은<br>전용 포톤 아츠가 있고<br>테크닉도 사용할 수 있다는 점이다."""
mb20_020#0,"""다만 무기 자체는 법격력에 의존한다.<br>그 점이 다른 무기나 듀얼 블레이드와<br>크게 다른 부분이지."""
mb20_030#0,"""너는 이미 알고 있겠지만<br>아직 모르는 아크스도 있을 테지.<br>그래서 다시 안내하는 것이다."""
mb21_010#0,"""제트 부츠에 관해서라면<br>알기 쉬운 특징 중 하나로<br>2단 점프가 있다."""
mb21_020#0,"""듀얼 블레이드로는 할 수 없는<br>제트 부츠만의 특징이지."""
mb21_030#0,"""이미 아는 내용이겠지만<br>이것도 홍보 활동 임무의 일부다.<br>잘 부탁하지."""
11_voice_NPC_5151_100#2,"""다행히 바운서의 수는<br>늘어나고 있다."""
