name_7430#0,"""イングスタッド"""
ssn_014710_0001#0,"""いやあ、ここはキャンプ地にもってこいです。<br>昔の構造物とかが残ってて、いろいろ使えそうで。"""
ssn_014710_0002#0,"""厳しい寒さですが、<br>ここなら隊員たちも休めるかと。"""
ssn_014710_0101#0,"""わたくし、先遣隊の後方支援員、<br>イングスタッドといいます。"""
ssn_014710_0102#0,"""ちょっとあなたに、お願いしたいことがありまして。<br>相談にのってくれると嬉しいです。"""
ssn_014710_0102_001#0,"""すでに、一部は復旧できているんです。<br>ただ、育成の元になる食材を調達するには、修理で手が回らなくて……。"""
ssn_014710_0102_002#0,"""Might I ask you to lend a hand with this? If you could source us some Nourishing Kvar Sea Snails, it'd be most appreciated."""
ssn_014710_0102_003#0,"""外での戦いが中心のアークスには、<br>あまり馴染みがないかもしれませんが。"""
ssn_014710_0102_004#0,"""農業用、工業用のさまざまな生産設備が、<br>陰ながらわたくしたちの暮らしを支えているのです。"""
ssn_014710_0102_005#0,"""見たところ、セントラルのものと構造は一緒のようです。<br>少し壊れていましたが、簡単な修理で稼働させられそうでして。"""
ssn_014710_0102_006#0,"""このクヴァリスは過酷な地……。<br>まずは食糧確保ができれば、この上ない隊員のサポートになるかと。"""
ssn_014710_0102_007#0,"""すでに、一部は復旧できているんです。<br>ただ、育成の元になる食材を調達するには、修理で手が回らなくて……。"""
ssn_014710_0102_008#0,"""Might I ask you to lend a hand with this? If you could source us some Nourishing Kvar Sea Snails, it'd be most appreciated."""
ssn_014710_0201#0,"""そうですか、お忙しそうですもんね。<br>また、時間のあるときに頼らせてください。"""
ssn_014710_0301#0,"""Welcome back. Did you get those Nourishing Kvar Sea Snails?"""
ssn_014710_0401#0,"""Give 10 Nourishing Kvar Sea Snails"""
ssn_014710_0402#0,"""やめる"""
ssn_014710_0501_001#0,"""うん、これだけあれば十分です。<br>大きくて立派ですし、文句なしです。"""
ssn_014710_0501_002#0,"""いやあ、嬉しいなあ。<br>ありがとうございました。"""
ssn_014710_0501_003#0,"""大事に育てますね。<br>きっとみんなの役に立ててみせます。"""
ssn_014710_0502#0,"""うーん、これだとちょっと足りないですね……。<br>すみません、もう少しお願いします。"""
ssn_014710_0503#0,"""……そうですか。<br>よければ、またお願いしますね。"""
ssn_014710_1001#0,"""この前は、<br>ありがとうございました。"""
ssn_014710_1002#0,"""ついでにもう一種類、<br>食材の調達をお願いしたいのですが。できますでしょうか？"""
ssn_014710_1002_001#0,"""This time, I'd like you to find some Healthy Kvar Lobsters."""
ssn_014710_1002_002#0,"""この寒さの厳しい地で、<br>マッタ・クヴァルマギカイとともに、貴重なタンパク源ですね。"""
ssn_014710_1002_003#0,"""You should be able to find Healthy Kvar Lobsters in... Southern Kvaris, I think."""
ssn_014710_1002_004#0,"""大変かと思いますが、よろしくお願いします。<br>ただ、無理はなさらずに。"""
ssn_014710_1101#0,"""そうですか、お忙しそうですもんね。<br>また、時間のあるときに頼らせてください。"""
ssn_014710_1201#0,"""Welcome back. Did you get the Healthy Kvar Lobsters?"""
ssn_014710_1301#0,"""Give 10 Healthy Kvar Lobsters"""
ssn_014710_1302#0,"""やめる"""
ssn_014710_1401_001#0,"""うん、これだけあれば、<br>バッチリです。"""
ssn_014710_1401_002#0,"""……おっと、跳ねますね。<br>活きもいい！"""
ssn_014710_1401_003#0,"""全く問題ないです。<br>いやあ、本当にありがとうございます。"""
ssn_014710_1401_004#0,"""少しでも早く、<br>みんなに提供できるように頑張りますね。"""
ssn_014710_1402#0,"""うーん、これだとちょっと足りないですね……。<br>すみません、もう少しお願いします。"""
ssn_014710_1403#0,"""……そうですか。<br>よければ、またお願いしますね。"""
ssn_014710_1501#0,"""食材の調達、<br>ありがとうございました。"""
ssn_014710_1502#0,"""少しでも早く、<br>みんなに提供できるように頑張りますね。"""
ssn_014710_2001#0,"""採ってきてくれた食材、順調に育ってますよ。<br>繁殖も上手くいってます。"""
ssn_014710_2002#0,"""それでですね、もしよければ、また調達をお願いしたいんです。<br>よろしいでしょうか？"""
ssn_014710_2002_001#0,"""あれから地下プラントの修理もだいぶ進んでまして、<br>扱う食材をもっと増やせそうなんです。"""
ssn_014710_2002_002#0,"""この調子なら、セントラルに引けを取らない施設になるかと。<br>……というのは、まだ言い過ぎですが。でもまあ、順調です。"""
ssn_014710_2002_003#0,"""Anyhow, I'd like to ask you to source us some vegetables. Specifically some Healthy Kvar Onions, if you don't mind."""
ssn_014710_2002_004#0,"""Healthy Kvar Onions are native to Central Kvaris. Thanks again."""
ssn_014710_2101#0,"""そうですか、お忙しそうですもんね。<br>また、時間のあるときに頼らせてください。"""
ssn_014710_2201#0,"""Welcome back. Did you get the Healthy Kvar Onions?"""
ssn_014710_2301#0,"""Give 10 Healthy Kvar Onions"""
ssn_014710_2302#0,"""やめる"""
ssn_014710_2401_001#0,"""これだけあれば、バッチリです！"""
ssn_014710_2401_002#0,"""うん、どれも実がしっかりしてますね。<br>活き活きしてて、栽培もしやすそうです。"""
ssn_014710_2401_003#0,"""スープの具材なんかにしたら……。<br>フフ……。隊員たちの喜ぶ顔が、目に浮かびます。"""
ssn_014710_2401_004#0,"""今回も、ありがとうございました。<br>さーて、仕事仕事！"""
ssn_014710_2402#0,"""うーん、これだとちょっと足りないですね……。<br>すみません、もう少しお願いします。"""
ssn_014710_2403#0,"""……そうですか。<br>よければ、またお願いしますね。"""
ssn_014710_3001#0,"""育てた食材、<br>隊員にだいぶ振る舞えるようになりまして。"""
ssn_014710_3002#0,"""みんな、すごく喜んでくれてるんです。<br>あなたのおかげです。ありがとうございます。"""
ssn_014710_3003#0,"""それでですね、また別の食材調達を頼めたらと思うのですが。<br>よろしいでしょうか？"""
ssn_014710_3003_001#0,"""いやあ、恐れ入ります。<br>いつもありがとうございます。"""
ssn_014710_3003_002#0,"""Alright, what I need you to next is source us some Refreshing Kvar Napa."""
ssn_014710_3003_003#0,"""いろんな野菜を栽培できれば、<br>隊員たちを健康面からもサポートできるかと。"""
ssn_014710_3003_004#0,"""大変かもしれませんが、よろしくお願いします。"""
ssn_014710_3101#0,"""そうですか、お忙しそうですもんね。<br>また、時間のあるときに頼らせてください。"""
ssn_014710_3201#0,"""Welcome back. Did you get some Refreshing Kvar Napa?"""
ssn_014710_3301#0,"""Give Refreshing Kvar Napa"""
ssn_014710_3302#0,"""やめる"""
ssn_014710_3401_001#0,"""確かに受け取りました。<br>ありがとうございます！"""
ssn_014710_3401_002#0,"""うん、どれもずっしり重くて……みずみずしいですね。<br>花が咲けば、種もたくさん採れそうです。"""
ssn_014710_3401_003#0,"""いやあ、今回も助かりました。<br>またなにかありましたら、頼らせてください。"""
ssn_014710_3402#0,"""うーん、これだとちょっと足りないですね……。<br>すみません、もう少しお願いします。"""
ssn_014710_3403#0,"""……そうですか。<br>よければ、またお願いしますね。"""
ssn_014710_4001#0,"""いやあ、おかげさまで、<br>地下プラントの機能もだいぶ充実してきまして。"""
ssn_014710_4002#0,"""食材の管理、機器のメンテナンス、残りの修理、<br>なんだかんだで、大忙しなんですよ。"""
ssn_014710_4003#0,"""そうだ。もしよければ、また調達をお願いしたいんですが。<br>大丈夫でしょうか？"""
ssn_014710_4003_001#0,"""最近、隊員たちから、<br>果物も食べたいと言われてまして。"""
ssn_014710_4003_002#0,"""デザートなんかで出せれば、<br>食事にも彩りが生まれるかと。"""
ssn_014710_4003_003#0,"""ご苦労をおかけしますが、よろしくお願いします。<br>楽しみに、待っています。"""
ssn_014710_4101#0,"""そうですか、お忙しそうですもんね。<br>また、時間のあるときに頼らせてください。"""
ssn_014710_4201#0,"""Welcome back. Did you get some Sharp Kvar Guava?"""
ssn_014710_4301#0,"""Give 10 Sharp Kvar Guava"""
ssn_014710_4302#0,"""やめる"""
ssn_014710_4401_001#0,"""わあ、美味しそうですね！"""
ssn_014710_4401_002#0,"""うん、種もしっかり詰まってるようです。<br>これなら、問題なく芽も出るでしょう。"""
ssn_014710_4401_003#0,"""いつも助けていただいて、<br>本当になんとお礼を言ったらよいやら……。"""
ssn_014710_4401_004#0,"""おかげさまで、隊員たちも食糧に困らなくなりました。<br>みんな、あなたに感謝しきりですよ。"""
ssn_014710_4401_005#0,"""そうだ。今度、育てた食材でご馳走させてください。<br>私、料理もそこそこいけますから。是非！"""
ssn_014710_4402#0,"""うーん、これだとちょっと足りないですね……。<br>すみません、もう少しお願いします。"""
ssn_014710_4403#0,"""……そうですか。<br>よければ、またお願いしますね。"""
ssn_014710_4501#0,"""いつも助けていただいて、<br>本当になんとお礼を言ったらよいやら……。"""
ssn_014710_4502#0,"""おかげさまで、隊員たちも食糧に困らなくなりました。<br>みんな、あなたに感謝しきりですよ。"""
ssn_014710_4503#0,"""そうだ。今度、育てた食材でご馳走させてください。<br>私、料理もそこそこいけますから。是非！"""
