ssc_013050_0010#0,"""มีเรื่องอะไรเหรอ?"""
ssc_013050_0020#0,"""นี่มันหนังสัตว์ชั้นดีเลยนะ ขอบคุณมากเลย!"""
ssc_013050_0030#0,"""ทุลลี (Tulli) น่ะเก่งเรื่องหาเสบียงอาหารกับหนังสัตว์แบบนี้มากเลยล่ะ"""
ssc_013050_0040#0,"""จริงๆ แล้วฉันกำลังจะซ่อมอุปกรณ์กันหนาวของไทวาส (Taivas) เสร็จพอดีเลย"""
ssc_013050_0050#0,"""ตอนแรกก็ไม่แน่ใจว่าจะมีวัสดุพอไหม แต่พอได้พวกนี้มาก็มีเหลือเฟือเลยล่ะ"""
ssc_013050_0060#0,"""...และก็นะ ฉันมั่นใจว่าเธอคงรู้ว่าฉันจะพูดอะไรต่อ..."""
ssc_013050_0070#0,"""ถ้ามันเสร็จแล้ว เธอช่วยเอาอุปกรณ์นี้ไปส่งให้ไทวาส (Taivas) หน่อยได้ไหม?"""
ssc_013050_0080#0,"""หลังจากนี้ฉันมีเรื่องต้องทำอีกเพียบเลยน่ะ ก็เลยเอาไปส่งเองไม่ได้..."""
ssc_013050_0090#0,"""จะช่วยเหรอ? ขอบคุณมากเลยนะ!"""
ssc_013050_0100#0,"""รอเดี๋ยวนะ ขอฉันทำให้เสร็จแป๊บเดียว"""
ssc_013050_0110#0,"""ฉันคิดว่าตอนนี้เขาน่าจะอยู่ที่ทุ่งหิมะดานัน (Danan Snowfields) นะ ขอบคุณมากๆ เลยนะ"""
