ssc_013060_0010#0,"""โอ้! ดูสิใครมาเนี่ย!"""
ssc_013060_0020#0,"""ฮัดชิ้ว!"""
ssc_013060_0030#0,"""อูย อุปกรณ์พวกนี้มันเก่าจนทนไม่ไหวแล้วล่ะ เริ่มรู้สึกหนาวแล้วเนี่ย"""
ssc_013060_0040#0,"""อ้อ คุกก้า (Kukka) เตรียมเจ้านี่ไว้ให้ฉันเหรอ? เยี่ยมเลย!"""
ssc_013060_0050#0,"""แบบนี้การสำรวจของฉันคงง่ายขึ้นเยอะเลย ต้องไปบอกคุกก้า (Kukka) ซะแล้วว่าติดหนี้เขาแล้วเนี่ย"""
ssc_013060_0060#0,"""ขอบใจเธอด้วยนะที่อุตส่าห์เอามาส่งให้!"""
ssc_013060_0070#0,"""หืม? เธอกำลังจะกลับไปที่ลอดจ์ใช่ไหม? รอแป๊บนึงนะ"""
ssc_013060_0080#0,"""ไหนๆ ก็ไหนๆ แล้ว ช่วยเอาเจ้านี่ไปให้เมริ (Meri) หน่อยได้ไหม?"""
ssc_013060_0090#0,"""สวยดีใช่ไหมล่ะ? ฉันได้มาจากแถวๆ นี้น่ะ"""
ssc_013060_0100#0,"""ฉันคิดว่าเมริ (Meri) น่าจะชอบมันนะ"""
ssc_013060_0110#0,"""เธอมักจะคอยดูแลพวกเราอยู่เสมอน่ะ ฉันก็เลยอยากจะให้ของเล็กๆ น้อยๆ เพื่อเป็นการขอบคุณซะหน่อย"""
ssc_013060_0120#0,"""ฉันยังมีพื้นที่บางส่วนที่ต้องสำรวจต่อ ก็เลยอยากรบกวนให้เธอช่วยเอาไปให้เธอน่ะ ขอบใจอีกครั้งนะ!"""
