ra_010530_0010#0,"""아아 젠장!<br>또 도망쳐 버렸어!"""
ra_010530_0020#0,"""서, 선생님 선생님.<br>저한테 화풀이하지 마세요."""
ra_010530_0030#0,"""어쩔 수 없잖아요.<br>갑자기 피검자가 되라. 라니<br>부탁하는 것도 정도가 있다구요……"""
ra_010530_0040#0,"""그런 여유로운 말을 할 수 있는<br>시기가 아닌데도……"""
ra_010530_0050#0,"""……음, 아아.<br><%me>."""
ra_010530_0060#0,"""아니 용족에게 협조를 요청하고 있는데<br>좀처럼 응해주지 않아서 말이지."""
ra_010530_0070#0,"""지금처럼 무시하는 건<br>아직 나은 편이예요……<br>갑자기 덤벼드는 경우도<br>있으니까요."""
ra_010530_0080#0,"""이제 그만하죠. 선생님.<br>목숨이 몇 개라도 부족해요."""
ra_010530_0090#0,"""하지만 저대로 내버려 두면<br>이 행성의 모든 생명을 먹어치울 거야."""
ra_010530_0100#0,"""다커의 침식은 용족이 생각하는<br>질병 같은 것과는 차원이 달라.<br>행성 전체에 퍼져 생명을 갉아먹는 거야."""
ra_010530_0110#0,"""하지만 폐쇄적인 그들은<br>그것은 외계의 일이라며<br>귀를 기울이지 않아."""
ra_010530_0120#0,"""돌이킬 수 없게 되기 전에<br>용족의 수장…… 로의 일족을 만나고<br>협조를 얻어내지 않으면……"""
ra_010530_0130#0,"""……미안해, 푸념만 늘어놨네.<br>뭔가 새로운 정보가 생기면<br>다시 한 번 너에게도 연락할게.<br>그럼 이만."""
ra_010530_0140#0,"""실례하겠습니다!"""
ra_010530_0150#0,"""A.P.238/3/21"""
