name01#0,"""？？？변경필요"""
name02#0,"""？？？"""
un_010260_0010#0,"""아, 네놈인가……<br>으음 응? 네놈이라도 괜찮은가?<br>……아니, 아직은 일러."""
un_010260_0020#0,"""어이, 제노는 어디있어.<br>같이 있지 않는 거냐.<br>그놈이라면 즐겁게 싸울 수 있어."""
un_010260_0030#0,"""……칫, 이럴 때에<br>시원스레 나오지 않아서야.<br>재미 없는 녀석이다."""
un_010260_0040#0,"""중요한 순간에도 도움이 안되다니<br>변함 없구만… 큭, 크흐흐흣!"""
un_010260_0050#0,"""너무 변함이 없으니<br>우스꽝스러워 배꼽이 빠질 것 같군."""
un_010260_0060#0,"""네놈은 어떻게 될려나?<br>제노처럼 될까, 아님 나처럼<br>될까…… 기대되네."""
un_010260_0070#0,"""가자, 시나!"""
un_010260_0080#0,"""……제게 물어보셔도 소용없습니다.<br>겟템하르트님과 제노님 사이에<br>무슨 일이 있었는지 관심 없으니까요."""
un_010260_0090#0,"""그럼<br><%me>님<br>실례하겠습니다."""
