name01#0,"""???"""
name02#0,"""???"""
un_011620_0010#0,"""Ahaha! It's really nice outside. The photon freshness is a different level compared to my office!"""
un_011620_0020#0,"""Hmmmmmmm... peon?"""
un_011620_0030#0,"""You don't look like an enemy... Great then I can use you as I please!"""
un_011620_0040#0,"""Right now I'm open to anything as I finally got free permission to this area!"""
un_011620_0050#0,"""Getting that permit took forever. Even if I tried to go I kept getting stopped \""it's too dangerous,\"" they say."""
un_011620_0060#0,"""Trying to get my head around the notion that there's anything more dangerous than me is too vexing!"""
un_011620_0070#0,"""But finally getting it, I had no idea it would feel this good. I guess good things come to those who stick to it!"""
un_011620_0080#0,"""Guess I might get back to blowing up what ever I feel like!"""
un_011620_0090#0,"""Since I have 'free' rights to this area then I might just blow everything up!"""
