name01#0,"""Astarte"""
11_voice_NPC_5098_215#0,"""Nice to meet you! I am ARKS Basic Instruction Officer Astarte."""
11_voice_NPC_5098_201#0,"""Allow me to explain the new hands-on training program, \""<c ff4f3f>ARKS Missions<c>\""."""
11_voice_NPC_5098_202#0,"""Completing various tasks to learn more about ARKS and the world... This is what \""<c ff4f3f>ARKS Missions<c>\"" are for."""
11_voice_NPC_5098_203#0,"""Anyway, let's actually see it for ourselves. Just this once, we'll open the <c ff4f3f>main menu<c> automatically..."""
11_voice_NPC_5098_204#0,"""Go to the \""<c ff4f3f>Quest<c>\"" section, and select \""<c ff4f3f>ARKS Missions<c>\""."""
11_voice_NPC_5098_205#0,"""Do you understand how to check <c ff4f3f>ARKS Missions<c>?"""
11_voice_NPC_5098_206#0,"""Now, let's find out how to proceed with a \""<c ff4f3f>Mission<c>\""."""
11_voice_NPC_5098_207#0,"""Talk to Rebecca, and start \""<c ff4f3f>Meeting Xion<c>\"" from \""<c ff4f3f>Story Quests<c>\""."""
text100#0,"""Use <%Decide> to select <yellow>ARKS Missions<c>."""
text110#0,"""Use <%Decide> to select <yellow>Main Missions<c>."""
text120#0,"""Use <%Decide> to select <yellow>\""Meeting Xion\""<c>."""
text130#0,"""Use <%Cancel> to <yellow>close<c> ARKS Missions."""
text140#0,"""Use <%Cancel> to <yellow>close<c> the main menu."""
