name01#0,"""Astarte"""
11_voice_shop_410#0,"""Greetings. This is ARKS Basic Instruction Officer Astarte."""
text02#0,"""I have recently been put in charge of a new hands-on training program, the \""<c ff4f3f>Mission Board<c>\""."""
text03#0,"""The <c ff4f3f>Mission Board<c> is designed to help you learn about ARKS and the world by completing various tasks."""
text04#0,"""Let's take a quick look. I'm sure that you'll understand once you've seen it."""
text05#0,"""Open the <c ff4f3f>main menu<c>, select the \""<c ff4f3f>Quest<c>\"" category, then \""<c ff4f3f>Mission Board<c>\""."""
text06#0,"""Did you understand how to open the <c ff4f3f>Mission Board<c>?"""
text07#0,"""Next, let's learn how to pick a \""<c ff4f3f>Mission<c>\""."""
text08#0,"""First, go to the Quest Counter, select <c ff4f3f>Story Quests<c> and start the Quest \""<c ff4f3f>The First Matter Board<c>\""."""
text100#0,"""Select <c ff4f3f>Mission Board<c><pict Alpha_B>"""
text110#0,"""Select <yellow>Main Missions<c><pict Alpha_B>"""
text120#0,"""<c ff4f3f>Select \""The First Matter Board\"".<c>"""
text130#0,"""<yellow>Close the Mission Board window<c><pict Alpha_A>"""
text140#0,"""<c ff4f3f>Close<c> the <yellow>main menu<c><pict Alpha_A>"""
