name01#0,"""Astarte"""
11_voice_NPC_5098_208#0,"""Congratulations!<br><c ff4f3f>Mission accomplished<c>."""
11_voice_NPC_5098_209#0,"""Once you <c ff4f3f>complete a Mission<c>, you will receive a <c ff4f3f>reward<c>."""
11_voice_NPC_5098_210#0,"""Select \""<c ff4f3f>ARKS Missions<c>\"" under \""<c ff4f3f>Quest<c>\"" on the main menu, and receive your <c ff4f3f>reward<c>."""
11_voice_NPC_5098_211#0,"""You have received a <c ff4f3f>reward<c>! This is how to proceed with a <c ff4f3f>Mission<c>."""
11_voice_NPC_5098_212#0,"""There are <c ff4f3f>Main Missions<c>, which appear as you progress through the game, as well as <c ff4f3f>Daily Missions<c> and <c ff4f3f>Weekly Missions<c>, which change as time passes."""
11_voice_NPC_5098_213#0,"""Whenever you receive <c ff4f3f>rewards<c>, be sure to check if any new <c ff4f3f>Missions<c> have appeared."""
11_voice_NPC_5098_214#0,"""Well then, I wish you success in the future!"""
text100#0,"""Select <yellow>ARKS Missions<c> with <%Decide>."""
text110#0,"""<yellow>Receive a reward<c> with <%Decide>."""
text120#0,"""<yellow>Close<c> the ARKS Missions window with <%Cancel>."""
text130#0,"""<yellow>Close<c> the main menu with <%Cancel>."""
text140#0,"""Daily Missions and Weekly Missions have been unlocked."""
text150#0,"""Various Quests can now be played!"""
MovieTitle#0,"""Welcome to PSO2!"""
