name010#0,"""Bosey."""
text010_A#0,"""¡Oye! ¿Qué te parece? Un pueblo muy cómodo, ¿no?"""
text020_A#0,"""Si alguna vez necesitas saber dónde está algo, no dudes en preguntar, ¿de acuerdo?"""
text010#0,"""¡Hey, eres tú! ¿Eh? ¿Has oído que estaba buscando algo?"""
text020#0,"""Bueno, has oído bien. Quería darte una pequeña cosa como una especie de bienvenida, ¿sabes? Y estoy pensando, ¡solo sé que hay algo por aquí para ti!"""
text030#0,"""Entonces, se me ocurrió. El regalo perfecto. El problema es que fui y olvidé dónde dejé la maldita cosa."""
text040#0,"""Recuerdo haberlo puesto en un contenedor de objetos hace tiempo..."""
text050#0,"""¡Pero por mi vida no puedo recordar en cuál! Hombre..."""
text060#0,"""¡Escucha! Sé que se supone que esto es al revés, pero ¿me puedes ayudar a buscar?"""
text010_B#0,"""¿Qué dices? ¿Crees que puedes encontrarlo?"""
text010_C#0,"""¿Has terminado tu recorrido por el pueblo? Si es así, probablemente deberías volver a casa de Garoa."""
text010_D#0,"""De acuerdo, ¡intenta equiparlo!"""
