NAME#0,"""안넬리제"""
NICKNAME#0,"""퀘스트 카운터 담당자"""
HELLO#0,"""어떤 퀘스트로 하시겠어요?"""
HELLO_FAV0#0,"""어떤 퀘스트로 하시겠어요?"""
HELLO_FAV1#0,"""어떤 퀘스트로 하시겠어요?"""
HELLO_FAV2#0,"""어떤 퀘스트로 하시겠어요?"""
HELLO_FAV3#0,"""어떤 퀘스트로 하시겠어요?"""
HELLO_FAV4#0,"""어떤 퀘스트로 하시겠어요?"""
Q0#0,"""어떤 퀘스트로 하시겠어요?"""
TALK_BYE_QUEST#0,"""퀘스트로 출발하실 때는<br>오른쪽 스페이스 게이트에서<br>캠프 쉽으로 탑승하시면 됩니다"""
GOODBYE#0,"""다시 이용해 주세요"""
GOODBYE_FAV0#0,"""다시 이용해 주세요"""
GOODBYE_FAV1#0,"""다시 이용해 주세요"""
GOODBYE_FAV2#0,"""다시 이용해 주세요"""
GOODBYE_FAV3#0,"""다시 이용해 주세요"""
GOODBYE_FAV4#0,"""다시 이용해 주세요"""
RECOMMEND#0,"""퀘스트에 관련된<br>클라이언트 오더를<br>한꺼번에 수주하실 수 있습니다"""
00_01#0,"""選択肢その１"""
00_02#0,"""選択肢その２"""
TALK_ST#0,"""会話する"""
C_ORDER_ST#0,"""相談を聞く"""
