Text_PA#0,"""포톤 아츠: """
Text_TEC#0,""" 테크닉: """
Button_PATEC#0,"""<%PhotonArts>"""
Text_chargePA#0,"""차지 PA: ："""
Text_chargeTEC#0,"""차지  테크닉: """
Text_chargePA2#0,"""PA 중 공격 전환: """
Button_charge#0,"""<%PhotonArts><pict 4space> 길게 누르기"""
Button_charge2#0,"""포톤 아츠 중"""
Button_charge2_2#0,"""특정 타이밍에 <pict 4space><%NormalAttack><pict 4space> 또는 <pict 4space><%PhotonArts>"""
Text_ura_hold#0,"""뒷면 팔레트 전환: """
Text_ura_push#0,"""팔레트 전환: """
Button_ura_hold#0,"""<%WeaponAction_2><pict 4space> 길게 누르고 있기"""
Button_ura_push#0,"""<%WeaponAction_2>"""
Text_uraPATEC#0,"""뒷면 팔레트\u3000"""
Text_uraPA#0,"""뒷면 팔레트 PA: """
Text_uraTEC#0,"""뒷면 팔레트 테크닉: """
Button_uraPA_hold#0,"""<%WeaponAction_2><pict 4space> 버튼을 누른 상태에서 <pict 4space><%NormalAttack>"""
Button_uraPA_push#0,"""뒷면 팔레트로 전환하여 <pict 4space><%NormalAttack>"""
name010#0,"""파인"""
text010#0,"""다음은 더 많은 공격 방법을<br>순식간에 전환하는 방법을 알려줄게. 설명대로 해봐!"""
