name_7211#0,"""셰미"""
name_7224#0,"""시트레"""
ssn_019160_002_0010#0,"""와주셔서 감사합니다.<br>다시 한 번 자기소개를 하겠습니다."""
ssn_019160_002_0020#0,"""저는 섄디. 할파에서 발생하는<br>다양한 특이 현상을 연구하고 있습니다."""
ssn_019160_002_0030#0,"""<%me> 씨를 부른 건,<br>요즘 자주 보게 되는 어느 생명체…"""
ssn_019160_002_0011#0,"""와주셔서 감사합니다."""
ssn_019160_002_0021#0,"""이번에 <%me> 씨를 부른 건,<br>요즘 자주 보게 되는 어느 생명체…"""
ssn_019160_002_0040#0,"""…네? 어째서 이런 모습이냐고요?"""
ssn_019160_002_0050#0,"""…시, 실은 이번에 조사를 부탁하고 싶은 셍명체를,<br>모방한 것…으로 되어 있습니다."""
ssn_019160_002_0060#0,"""「상대의 마음을 헤아리려면, 내가 먼저 그 모습이 되어야 한다」<br>…라며, 어느 분께서 이 인형 옷을 건네주셨습니다."""
ssn_019160_002_0070#0,"""부… 부끄럽지만,<br>열심히… 입어보고 있습니다."""
ssn_019160_002_0080#0,"""…다시 본론으로 돌아가서, 조사 대상의 이름은,<br>\""리리파\""라고 합니다."""
ssn_019160_002_0090#0,"""그 생태 등은 아직 확인된 바가 없으며,<br>왜 나타났는지, 어디에 서식하고 있는지도 알 수 없습니다."""
ssn_019160_002_0100#0,"""이번에는 이 수수께끼의 생명체의 조사를<br>협조해 주시면 감사하겠습니다."""
ssn_019160_002_0110#0,"""우선은, 목격 정보가 있는 곳으로,<br>가주시겠습니까?"""
ssn_019160_002_0120#0,"""잘 부탁드립니다."""
ssn_019160_002_0210#0,"""수고하셨습니다!<br>협조해 주셔서 감사합니다!"""
ssn_019160_002_0220#0,"""이제 리리파 분들의 모습을 알게 되었으니,<br>보고서를 정리할 수 있습니다!"""
ssn_019160_002_0230#0,"""…저기~<br>이참에 한 가지 부탁이 있습니다만…"""
ssn_019160_002_0240#0,"""최근「레졸의 숲」쪽에도 생태계에 변화가 생겼나요?<br>신기한 식물이 식생하게 되었는데…"""
ssn_019160_002_0250#0,"""그 조사도 부탁드릴 수 있을까요?"""
ssn_019160_002_1010#0,"""<%me> 씨,<br>정말 감사합니다."""
ssn_019160_002_1020#0,"""덕분에,<br>리리파의 데이터를 얻을 수 있었습니다."""
ssn_019160_002_1030#0,"""아직 조사가 시작된 지 얼마 안됐지만,<br>적어도 위험한 상대는 아닌 것 같습니다."""
ssn_019160_002_1040#0,"""계속해서<br>조사를 진행하겠습니다."""
ssn_019160_002_1050#0,"""앞으로도<br>연구에 도움을 주시면 감사하겠습니다."""
ssn_019160_002_1060#0,"""잘 부탁드리겠습니다."""
ssn_019160_002_1070#0,"""그래서…."""
ssn_019160_002_1080#0,"""아 아 잘 들려?<br>네가 <%me> 맞지?"""
ssn_019160_002_1090#0,"""갑작스럽게 연락해서 미안해.<br>나는 보급 담당인 시트레야."""
ssn_019160_002_1100#0,"""시트레? 무슨 일이야?"""
ssn_019160_002_1110#0,"""다름 아니라 실력 있는 아크스가 있다고 들어서 말이야.<br>나도 부탁을 좀 하고 싶어서."""
ssn_019160_002_1120#0,"""보급 활동을 안전하게 하기 위해서,<br>에너미 토벌 같은 걸 부탁하고 싶어서."""
ssn_019160_002_1130#0,"""최전방에서 싸우고 있는 아크스에게,<br>이정도는 일상이 부탁 같은데, 어떠려나?"""
ssn_019160_002_1140#0,"""뭐, 가능하다면 해줬으면 하ㅡㄴ데,<br>생각좀 해봤으면 해. 그럼 안녕!"""
ssn_019160_002_1150#0,"""자, 잠깐, 시트레?"""
ssn_019160_002_1160#0,"""……여전히<br>마이웨이인 사람이네요."""
ssn_019160_002_1170#0,"""죄송합니다.<br>시트레의 부탁도 들어주실 수 있으신가요?"""
ssn_019160_002_2010#0,"""<%me> 씨,<br>정말 감사합니다."""
ssn_019160_002_2020#0,"""덕분에,<br>리리파의 데이터를 얻을 수 있었습니다."""
ssn_019160_002_2030#0,"""아직 조사가 시작된 지 얼마 안됐지만,<br>적어도 위험한 상대는 아닌 것 같습니다."""
ssn_019160_002_2040#0,"""계속해서<br>조사를 진행하겠습니다."""
ssn_019160_002_2050#0,"""앞으로도<br>연구에 도움을 주시면 감사하겠습니다."""
ssn_019160_002_2060#0,"""잘 부탁드리겠습니다."""
ssn_019160_002_2070#0,"""그래서…."""
ssn_019160_002_2080#0,"""<%me>, 오랜만이야!<br>군수 담당인 시트레야."""
ssn_019160_002_2090#0,"""…기억…하고 있지?"""
ssn_019160_002_2100#0,"""시트레? 무슨 일이야?"""
ssn_019160_002_2110#0,"""아니 그냥, 나도<br>부탁할 게 있어서."""
ssn_019160_002_2120#0,"""보급 활동을 안전하게 하기 위해서,<br>또 에너미 토벌 등을 부탁하고 싶어서."""
ssn_019160_002_2130#0,"""할 수만 있다면 좋겠어!<br>잘 부탁해!"""
ssn_019160_002_2140#0,"""잠깐, 시트레?"""
ssn_019160_002_2150#0,"""저 아이는 정말로,<br>변함이… 없네요."""
ssn_019160_002_2160#0,"""죄, 죄송합니다.<br>그녀의 도움도 부탁드릴 수 있을까요?"""
ssn_019160_002_4010#0,"""이 할파에는,<br>아직 알려지지 않은 것들이 무수히 많습니다."""
ssn_019160_002_4020#0,"""그글 하나하나 밝혀내는 것이,<br>우리 연구원들의 임무입니다."""
ssn_019160_002_5010#0,"""이걸 입고 있다보면,<br>주위의 시선이…."""
ssn_019160_002_5020#0,"""하지만 조금이라도 리리파에 대한 걸<br>알릴 수 있다면…이란 생각으로 열심히 하겠습니다."""
npc_menu_0010#0,"""시즈널 포인트로 교환하기 ($(0)까지)"""
npc_menu_0030#0,"""아이템 리사이클 ($(0)까지)"""
npc_menu_0040#0,"""시즈널 포인트에 관하여"""
npc_menu_0050#0,"""메뉴 닫기"""
npc_menu_1010#0,"""\""시즈널 포인트\""에 관하여"""
npc_menu_1020#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_1030#0,"""\""리리파족\""에 관하여"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_2000#0,"""묻고 싶은 것이 없다"""
