name010#0,"""Крофорд"""
name011#0,"""Аина"""
name012#0,"""Манон"""
name013#0,"""Ран"""
text010#0,"""Слушайте все."""
text011#0,"""Подтверждён сигнал Дарк Фальца<br>возле озера Хальфия."""
text012#0,"""Скоро он появится и начнёт вторжение."""
text013#0,"""Не могли бы вы повременить, пока<br>Центральная Пушка будет готова."""
text014#0,"""Так же, разверните войска тылового обеспеченения."""
text015#0,"""Надеюсь вы все приложите максимум усилий в бою."""
text016#0,"""Как меня слышно?<br>Похоже, нам придётся сражаться на неком расстоянии друг от друга..."""
text017#0,"""Мы окажем вам поддержку."""
text018#0,"""Мы поможем вам всем, чем сможем,<br>так что выложитесь на полную."""
text019#0,"""Поглядите какой высокоэнергетический сигнал!<br>Уже здесь!"""
