lvs_070020_0010#0,"""在那沉淪於黃昏的泉世中<br>深深迴蕩的生命之火啊"""
lvs_070020_0020#0,"""就請吹拂著永恆之風<br>心懷安詳的夢　沉沉睡去吧…"""
lvs_070020_0030#0,"""崇高之靈魂啊　即使你失去了所有"""
lvs_070020_0035#0,"""也請將光芒　點亮在遙遠的悲傷盡頭"""
lvs_070020_0040#0,"""在重歸那片大地前　我都將譜寫你的詩篇<br>直至這份　譜寫不絕祈禱的情誼"""
lvs_070020_0050#0,"""終有一日　能抵達你身旁"""
lvs_070020_0060#0,"""那被深烙在傷痕之中的<br>曠日持久的紛爭戰火啊"""
lvs_070020_0070#0,"""時間會無言地治愈一切　痛苦也好傷痛也罷"""
lvs_070020_0080#0,"""流逝向起始之時的繁星<br>奮力燃燒著　直至身軀化作灰燼"""
lvs_070020_0090#0,"""無論何時　都請讚頌這熱淚"""
lvs_070020_0095#0,"""而那勇往直前　不曾反顧的芸芸眾生"""
lvs_070020_0100#0,"""將會走向未來"""
lvs_070020_0110#0,"""不滅之光輝啊　願你懷抱一切"""
lvs_070020_0115#0,"""是你指引了我們　挺起胸膛而活"""
lvs_070020_0120#0,"""啊　越過時空的此刻　我將譜寫下你的讚歌<br>直至我們終有一日"""
lvs_070020_0130#0,"""抵達那獻上了不絕祈求的明天"""
lvs_070020_0140#0,"""崇高之靈魂啊　即使你失去了所有"""
lvs_070020_0145#0,"""也願這寄託著遙遠心願　譜寫下的情誼"""
lvs_070020_0150#0,"""在永恆之地長眠"""
lvs_070020_0160#0,"""我永遠不會忘懷<br>那激烈而縹緲的鬥爭歲月"""
lvs_070020_0170#0,"""永恆之風將把它傳頌<br>在那終會抵達的歸所"""
lvs_070020_0180#0,"""將那安詳的夢　娓娓道來…"""
lvs_070020_0190#0,"""悼念之歌 ～起始之風～"""
lvs_070020_0200#0,"""娜德蕾芙|ナーデレフ"""
