lvs_070010_0010#0,"""ทหารนับพันต่างอ้าแขนโอบรับการต่อสู้นี้"""
lvs_070010_0015#0,"""นี่คือคำสาป<br>หรือฝันร้ายนี้คือราคาที่ต้องจ่ายเพื่อแลกกับอิสรภาพ?"""
lvs_070010_0020#0,"""เหล่าอสูรร้ายที่น่าสะพรึงกลัวมองเห็นความสั่นกลัวของคุณ<br>พวกมันกระซิบพลางพยายามโน้มน้าวคุณว่า:"""
lvs_070010_0025#0,"""【ยอมแพ้เสียเถอะ เจ้าคนโง่เขลา<br>เวลาของคุณในสมรภูมินี้จบลงแล้ว】"""
lvs_070010_0030#0,"""จุดประกายไฟแห่งหัวใจที่แตกสลายของคุณขึ้นมา<br>แม้ว่าชีวิตนี้จะพังทลายลงจนสิ้นหวังแล้วก็ตาม"""
lvs_070010_0035#0,"""โหมกระพือเถ้าถ่านให้ลุกโชน<br>ความเป็นนักรบได้ถือกำเนิดขึ้นในตัวคุณแล้ว"""
lvs_070010_0040#0,"""อย่าได้ลังเล<br>จงต่อสู้อย่างไม่สิ้นสุดเพื่อท้าทายโชคชะตา!"""
lvs_070010_0050#0,"""แสงสว่างของคุณคือพรสำหรับพวกเราทุกคน<br>คุณเปล่งประกายดั่งประภาคารในจิตวิญญาณของเรา สหายผู้เร่าร้อนของฉัน"""
lvs_070010_0055#0,"""ฉันเห็นเปลวไฟในดวงตาที่สว่างไสวและอ่อนน้อมของคุณ<br>จงลุกขึ้นสู้อีกครั้งและอีกครั้ง"""
lvs_070010_0060#0,"""โอ้ โชคชะตาเอ๋ย ผู้ที่เชื่อมั่นในสายสัมพันธ์กับผู้ที่นำพาพวกเราก้าวต่อไป<br>โปรดนำทางพวกเขามาหาเราด้วยเถิด"""
lvs_070010_0065#0,"""น้ำตาและความรักที่เราร่วมแบ่งปันจะไม่มีวันจางหาย<br>เราจะเปล่งประกายดั่งดวงดาวในยามค่ำคืนชั่วนิรันดร์"""
lvs_070010_0070#0,"""ถ้อยคำที่ไม่อาจเอื้อนเอ่ยออกไปได้<br>แตกสลายยามที่พวกมันหวนคืนสู่ผืนดิน"""
lvs_070010_0075#0,"""เฝ้ารอคอยโลกที่เราวาดฝันไว้<br>จนกว่าจะถึงเวลาที่ได้ไขว่คว้าและครอบครองมัน"""
lvs_070010_0080#0,"""ความปรารถนาอันไม่สิ้นสุดที่เรายึดเหนี่ยวไว้<br>สักวันหนึ่งจะมอดไหม้กลายเป็นเถ้าถ่าน"""
lvs_070010_0085#0,"""เราจะยืนหยัดสู้ต่อไป<br>การต่อสู้นี้ยังไม่รู้ผลแพ้ชนะ"""
lvs_070010_0090#0,"""ถักทอโลกใบนี้ด้วยความเจิดจรัสของคุณ<br>สาดส่องแสงสว่างอันไม่มีวันสิ้นสุดในห้วงเวลานี้"""
lvs_070010_0095#0,"""มุ่งสู่อนาคต เราจะสลักหลักฐานไว้ว่าเราไม่ได้โดดเดี่ยว"""
lvs_070010_0100#0,"""อย่าได้ลังเล<br>จงต่อสู้อย่างไม่สิ้นสุดเพื่อเขียนโชคชะตาขึ้นใหม่!"""
lvs_070010_0110#0,"""บาดแผลในจิตวิญญาณจะได้รับการเยียวยาหากคุณเลิกเหนี่ยวรั้งมันไว้<br>ปลดปล่อยความโกรธเกรี้ยวของคุณออกมาซะ"""
lvs_070010_0115#0,"""แผดเผาเสียงนี้ไปพร้อมกับที่เราตะโกนก้องสู่ท้องฟ้า<br>จนกว่าจะถึงเวลาที่เราต้องเอ่ยคำลา"""
lvs_070010_0120#0,"""ในที่สุดเวลาของคุณก็มาถึง<br>มาร่ายรำและเฉลิมฉลองด้วยความยินดีปรีดากันเถอะ<br>คุณจะเปล่งประกายตลอดไป"""
lvs_070010_0125#0,"""การเดินทางอันไร้ที่ติของคุณข้ามผ่านดวงดาวได้เริ่มต้นขึ้นแล้ว<br>ไปเถิด การเดินทางของคุณนี้จะไม่มีวันสิ้นสุด"""
lvs_070010_0130#0,"""บาดแผลในจิตวิญญาณจะได้รับการเยียวยาหากคุณเลิกเหนี่ยวรั้งมันไว้<br>ปลดปล่อยความโกรธเกรี้ยวของคุณออกมาซะ"""
lvs_070010_0135#0,"""แผดเผาเสียงนี้ไปพร้อมกับที่เราตะโกนก้องสู่ท้องฟ้า<br>จนกว่าจะถึงเวลาที่เราต้องเอ่ยคำลา"""
lvs_070010_0140#0,"""ในที่สุดเวลาของคุณก็มาถึง<br>มาร่ายรำและเฉลิมฉลองด้วยความยินดีปรีดากันเถอะ<br>คุณจะเปล่งประกายตลอดไป"""
lvs_070010_0145#0,"""การเดินทางอันไร้ที่ติของคุณข้ามผ่านดวงดาวได้เริ่มต้นขึ้นแล้ว<br>ไปเถิด การเดินทางของคุณนี้จะไม่มีวันสิ้นสุด"""
lvs_070010_0150#0,"""ด้วยความสง่างามและความภาคภูมิ"""
lvs_070010_0160#0,"""Song of Battle ~Against Fate~"""
lvs_070010_0170#0,"""Nadereh"""
