name01#0,"""Коффи"""
11_voice_NPC_5050_104#0,"""<%me>.<br>Вы хорошо поработали.<br>На связи администратор Коффи."""
text02#0,"""Вам теперь доступны новые квесты<br>для исследований...<br>Ультимейт квесты."""
text03#0,"""Подавать заявку на лицензию<br>не нужно. Мы определили,<br>что вы довольно способный."""
text04#0,"""Кроме того, теперь вам доступна<br>новая сложность \""Экстра Тяжёлая\""."""
text05#0,"""...Хотя мы не ожидаем, что вы<br>столкнётесь с какими-либо<br>проблемами, эти миссии<br>не являются значительно<br>опасными."""
text06#0,"""Не переутруждайте себя.<br>...Что ж, на этом я откланяюсь."""
linewindow001#0,"""Продвижение ARKS миссий!<br>Назначаемые вам ежедневные и еженедельные миссии<br>теперь будут сложнее, а также принесут больше наград!"""
Title#0,"""Ультимейт квесты"""
text01#0,"""Ультимейт квесты - квесты сободного исследования<br>в \""искажённых областях\"", подвергшихся значительным<br>измениям в следствии аномалий."""
text02#1,"""Ультимейт квесты - очень сложные квесты,<br>в которых представляются необычные,<br>мощные вариации врагов, называемые<br>\""Мутировавшими\""."""
text03#1,"""Для завершения квеста, победите врага,<br>которого встретите в конечной области."""
