st_064028_0010#0,"""¡Números, vienen en camino!"""
st_064028_0020#0,"""¡Deja de llamarme así!, ¡Laplace!, ¡Maxwell!"""
st_064028_0030#0,"""Tengo que lidiar con este desastre justo cuando regrese de Estados Unidos. ¡Estoy trabajando un 200% mas!"""
st_064028_0040#0,"""Phul y Aratron estan limpiado por su lado... ¿No deberías ir a la escuela?"""
st_064028_0050#0,"""Estará bien. <%me> se está encargando de eso.<br>Yo no lo haría a tiempo de todos modos."""
st_064028_0060#0,"""Además... El enemigo todavía no se ha rendido."""
st_064028_0070#0,"""Ahhh, ¡Vamos ya!, ¡Somos 100% demasiado populares!"""
st_064028_0080#0,"""¡Toma esoooooo!"""
st_064028_0085#0,"""わわわわわっ！？"""
st_064028_0090#0,"""Gracias, Hitsugi."""
st_064028_0100#0,"""No lo menciones Pero todavía no podemos relajarnos."""
st_064028_0110#0,"""え……？"""
st_064028_0120#0,"""あ、あははー……"""
st_064028_0130#0,"""Los detendremos sin importar qué.<br>Si no lo hacemos, nunca nos perdonarán."""
st_064028_0140#0,"""...Sí es cierto."""
st_064028_0150#0,"""¡Eres tu!..."""
st_064028_0160#0,"""¡<%me>!, ¡Lo hiciste!"""
st_064028_0170#0,"""¿Están bien?"""
st_064028_0180#0,"""Llegué a tiempo."""
st_064028_0190#0,"""...Si. Gracias, <%me>."""
st_064028_0200#0,"""Hitsugi, Kohri. Sé que ha pasado un tiempo, ¡Pero tendremos que ponernos al día en otro momento!"""
st_064028_0210#0,"""¡Estoy detectando muchos enemigos justo encima de ustedes!, ¡Hay muchos de ellos!"""
st_064028_0220#0,"""ヒツギちゃん！"""
st_064028_0230#0,"""Sí... Échanos una mano, <%me>."""
