Active#0,"""[PSE] $(0) $(1)ур"""
Fever#0,"""[PSE] $(0) 8ур"""
CrossFever#0,"""[PSE] $(0) 8ур"""
AreaChangeTitle#0,"""<pict $(0)>$(1)[Знак]"""
atp_strike#0,"""Увел-е S-ATK"""
atp_firearm#0,"""Увел-е R-ATK"""
atp_technic#0,"""Увел-е T-ATK"""
meseta_drop#0,"""Увел-е выпадения месеты"""
pp_consumption#0,"""Сниж-е расхода PP"""
experience#0,"""Увел-е опыта"""
rare_enemy#0,"""Увел-е редких врагов"""
boost_enemy#0,"""Усил-е редких врагов"""
photon_blast#0,"""Ускор-е заполн. шкалы PB"""
critical_up#0,"""Увел-е шанса крита"""
atkup_fire#0,"""Усил-е атак огнём"""
atkup_ice#0,"""Усил-е атак льдом"""
atkup_thunder#0,"""Усил-е атак молнией"""
atkup_wind#0,"""Усил-е атак ветром"""
atkup_light#0,"""Усил-е атак светом"""
atkup_dark#0,"""Усил-е атак тьмой"""
dropup_fire#0,"""Бонус огня"""
dropup_ice#0,"""Бонус льда"""
dropup_thunder#0,"""Бонус молнии"""
dropup_wind#0,"""Бонус ветер"""
dropup_light#0,"""Бонус света"""
dropup_dark#0,"""Бонус тьмы"""
add_element#0,"""PSE023"""
justatk_up#0,"""Усил-е Just Attack"""
weakhit_up#0,"""Усил-е по слабым точкам"""
pp_recover#0,"""Ускор-е восстан. PP"""
zerorange_up#0,"""Увел-е нулевой дистанции"""
rare_incident#0,"""Увел-е испыт. редк-ми"""
attack#0,"""Усил-е атак"""
compound1#0,"""Множественное усил(увел)-е"""
costume#0,"""Бонус костюма"""
ta_justattack#0,"""Бонус JA техниками"""
damage_cut#0,"""Сокращение урона"""
compound1_general#0,"""Множественное усил(увел)-е"""
mack_buff1#0,"""Большое увел-е силы атаки"""
mack_buff2#0,"""サバイバル用仮２"""
mack_buff3#0,"""サバイバル用仮３"""
compound1#1,"""Множ.: Усил-е атаки, Увел-е 0 дистанции, Ускор-е восстан. PP"""
compound1_general#1,"""Множ.: Усил-е атаки, Увел-е 0 дистанции, Ускор-е восстан. PP"""
