Title#0,"""特別突破訓練：Episode3"""
Explanation#0,"""本任務は、VR空間にて行う<br>制限時間内にエリアの最奥を目指す<br>走破型の訓練である。<br>アークスが経験した様々な事象から<br>【深遠なる闇】の出現時軸を中心に<br>象徴的な障害を選んで再構築した。<br>各員の能力を最大限引き出し、突破せよ。<br>――――――――――――――――――――<br>制限時間/１５分<br>最大与ダメージ制限/９９９９９９"""
SimpleExplanation#0,"""各惑星に現れた敵を撃退せよ！"""
NpcComMsg1#0,"""間もなく、転送を開始します。<br>最終目標は、制限時間内における<br>全エリアの完全踏破です。"""
NpcComMsg2#0,"""これはＶＲプログラムによる訓練ですが<br>収集されたデータを元に、難度を高めた<br>調整が施されています。"""
NpcComMsg3#0,"""くれぐれも油断はしないように。<br>それでは、健闘を。"""
Area0S#0,"""白ノ領域エリア1"""
Area0L#0,"""惑星ハルコタン 白ノ領域エリア1"""
Area1S#0,"""浮上施設エリア2"""
Area1L#0,"""惑星ウォパル 浮上施設エリア2"""
Area2S#0,"""壊世区域 地下坑道エリア3"""
Area2L#0,"""惑星リリーパ 壊世区域 地下坑道エリア3"""
Area3S#0,"""壊世区域 遺跡エリア4"""
Area3L#0,"""惑星ナベリウス 壊世区域 遺跡エリア4"""
Area4S#0,"""????"""
Area4L#0,"""????"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""Получите Super Hard License."""
