name_7434#0,"""Suffren"""
ssn_015040_0001#0,"""ฉันชื่อ Suffren มาที่นี่กับกองหน้า Kvaris น่ะ"""
ssn_015040_0002#0,"""ได้ยินมาว่าพวกเธอมาที่นี่เพื่อตามหา Ilma สินะ"""
ssn_015040_0003#0,"""ฉันเองก็อดเป็นห่วงเขาไม่ได้เหมือนกัน"""
ssn_015040_0004#0,"""พูดไปอาจจะฟังดูแปลกๆ ที่มาจากปากฉัน แต่ได้โปรดช่วยเด็กพวกนั้นเท่าที่จะทำได้เถอะนะ"""
ssn_015040_0005#0,"""ฝากด้วยล่ะ"""
ssn_015040_0101#0,"""ได้ยินว่าเจอตัว Ilma อย่างปลอดภัยแล้ว แล้วก็ได้ยินเรื่องของ Lost Central ด้วย"""
ssn_015040_0102#0,"""รวมถึงข้อความที่ Rysas ทิ้งไว้ เหมือนกับว่าเขารู้ตัวว่าจะต้องตายยังไงยังงั้น..."""
ssn_015040_0103#0,"""ฟังนะ ฉันมีเรื่องอยากจะขอร้อง คิดว่าจะกลับไปที่ Lost Central ให้ฉันอีกครั้งได้ไหม?"""
ssn_015040_0201#0,"""เป็นไปได้ว่า Rysas อาจจะทิ้งอะไรอย่างอื่นไว้อีก"""
ssn_015040_0202#0,"""ฝากช่วยค้นหาใน Lost Central ด้วยนะ"""
ssn_015040_0301#0,"""งั้นหรอ นึกว่าจะเป็นคนที่ฉันพึ่งพาได้ซะอีก..."""
ssn_015040_0302#0,"""เอาเถอะ ถ้าเปลี่ยนใจเมื่อไหร่ก็กลับมาคุยกับฉันได้นะ"""
ssn_015040_0401#0,"""กลับมาแล้วสินะ ขอบใจมาก"""
ssn_015040_0402#0,"""หาเบาะแสอื่นของ Rysas ไม่เจอเลยสินะ..."""
ssn_015040_0403#0,"""เฮ้อ..."""
ssn_015040_0404#0,"""ในสมัยนั้น ความแข็งแกร่งของ Rysas เหนือกว่า ARKS คนอื่นๆ มาก"""
ssn_015040_0405#0,"""มากพอที่จะเทียบชั้นกับระดับผู้นำของแต่ละ Region ได้เลย"""
ssn_015040_0406#0,"""ถึงแม้ว่าพอเขาแก่ตัวลง จะเห็นได้ชัดว่าเขาอ่อนแอลงไปแค่นิดหน่อยก็เถอะ"""
ssn_015040_0407#0,"""ที่ฉันอยากจะบอกก็คือ เขาไม่ใช่คนที่จะตายง่ายๆ หรอก"""
ssn_015040_0408#0,"""เอาจริงๆ ฉันยังคิดว่าเขายังมีชีวิตอยู่ด้วยซ้ำ"""
ssn_015040_1001#0,"""เข้าใจแล้วล่ะ ถึงจะหาเบาะแสของ Rysas ไม่เจอก็ตาม..."""
ssn_015040_1002#0,"""แต่ช่วยอะไรฉันอีกอย่างได้ไหม?"""
ssn_015040_1003#0,"""มีบางอย่างที่อยากให้ช่วยหาให้หน่อย"""
ssn_015040_1101#0,"""งั้นหรอ... เข้าใจแล้ว ถ้าเปลี่ยนใจเมื่อไหร่ก็กลับมาคุยกับฉันได้นะ"""
ssn_015040_1101_001#0,"""ฉันอยากจะเอาของไปเซ่นไหว้ที่หลุมศพนั่นน่ะ"""
ssn_015040_1101_002#0,"""ช่วยหา Refreshing Kvar Plum มาให้หน่อยได้ไหม?"""
ssn_015040_1201#0,"""อ้าว กลับมาแล้ว ได้ Plum มาให้ฉันรึเปล่า?"""
ssn_015040_1301#0,"""ส่งมอบ Refreshing Kvar Plum 5 ชิ้น"""
ssn_015040_1302#0,"""ยกเลิก"""
ssn_015040_1401_001#0,"""เยี่ยมเลย ขอบใจจริงๆ นะ ฉันจะเอาไปเซ่นไหว้อย่างดีเลยล่ะ"""
ssn_015040_1401_002#0,"""นี่ ขอพูดอีกครั้งนะ..."""
ssn_015040_1401_003#0,"""ขอบคุณนะ ที่หา Ilma จนเจอ"""
ssn_015040_1401_004#0,"""อาจจะฟังดูแปลกๆ แต่ฉันเห็นเงาตัวเองสมัยก่อนในตัวเธอนะ"""
ssn_015040_1401_005#0,"""เธอทำเป้าหมายแบบเดียวกับที่ฉันทำไม่สำเร็จได้"""
ssn_015040_1401_006#0,"""...นั่นคือสิ่งที่ฉันมองเห็นในตัวเธอ"""
ssn_015040_1401_007#0,"""จำที่ฉันเล่าได้ไหมว่ามีคนบาดเจ็บตอนที่เราออกตามหา Rysas?"""
ssn_015040_1401_008#0,"""อา ใช่แล้วล่ะ... คนนั้นก็คือฉันเองแหละ"""
ssn_015040_1401_009#0,"""และคนที่เสนอให้ยุติการค้นหา... ก็คือ Taivas"""
ssn_015040_1401_010#0,"""ฉันคิดว่าพวกเขาคงทนไม่ได้ที่ต้องเห็นใครมาเจ็บตัวเพราะคนในครอบครัวของพวกเขาน่ะ"""
ssn_015040_1401_011#0,"""ตั้งแต่ตอนนั้นเป็นต้นมา เด็กพวกนั้นก็เอาแต่เก็บตัว"""
ssn_015040_1401_012#0,"""ตลอดเวลาที่ผ่านมา ฉันรู้สึกเหมือนตัวเองเป็นสาเหตุที่ทำให้เราหา Rysas ไม่เจอ"""
ssn_015040_1401_013#0,"""และแล้วเธอก็เข้ามา แล้วก็สามารถสร้างความผูกพันกับพวกเขาได้"""
ssn_015040_1401_014#0,"""ฉันมองว่านั่นเป็นเหมือนสัญญาณ"""
ssn_015040_1401_015#0,"""สัญญาณให้ลองเผชิญหน้ากับความรู้สึกผิดและเสียใจพวกนี้อีกครั้ง"""
