name_7434#0,"""Suffren"""
ssn_015041_0101#0,"""So you'll do it. Thanks."""
ssn_015041_0102#0,"""I have something of a history with Rysas. We go way back, and he's always weighed on my mind."""
ssn_015041_0103#0,"""...Rysas went missing a few years ago, you see."""
ssn_015041_0104#0,"""We formed a search party, not unlike the one that was formed for Ilma."""
ssn_015041_0105#0,"""However, no matter how many days we searched, we weren't able to find Rysas."""
ssn_015041_0106#0,"""Some folks searching even ended up getting injured..."""
ssn_015041_0107#0,"""It was going to be dangerous to continue any longer, so the search for Rysas was called off."""
ssn_015041_0108#0,"""...Without finding even a trace of what could have happened to him."""
ssn_015041_0109#0,"""But, if he was able to leave that message in Lost Central, he could have left other clues as well."""
ssn_015041_0110#0,"""Sorry to ask this of you, but could you give the place another search if you get the chance?"""
ssn_015041_0111#0,"""If you find anything you think might be important, please let me know."""
ssn_015041_0112#0,"""I'm counting on you."""
