Title#0,"""In the Driving Rain 2020"""
Explanation#0,"""Violent enemies have been appearing in<br>the Corrupted Area of planet Naberius.<br>Abnormal weather conditions have also<br>been observed. We want to investigate<br>whether these phenomena are connected.<br>Investigate the area while defeating as<br>many enemies as possible.<br>―――――――――――――――――――<br>Quest Points are shared amongst the room.<br>Quest ends when time limit expires."""
NpcComMsg1#0,"""Now beginning the transfer.<br>Your objective is to investigate<br>the appearance of violent<br>enemies within this area."""
NpcComMsg2#0,"""According to our reports,<br>the number of violent enemies<br>increases after a sudden<br>change in the weather."""
NpcComMsg3#0,"""It's currently raining, but we<br>predict rapid climatic changes<br>within the combat zone.<br>Proceed with caution."""
SimpleExplanation#0,"""Defeat as many enemies as possible!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Area0S#0,"""Corrupted Area: Forest 1"""
Area0L#0,"""Naberius: Corrupted Forest 1"""
Area1S#0,"""Corrupted Area: Forest 2"""
Area1L#0,"""Naberius: Corrupted Forest 2"""
