Title#0,"""『함교』에 대하여"""
text01#0,"""「함교」는 「EPISODE 4」 이후<br>스토리의 거점이 되는 장소입니다.<br><br>시에라에게 말을 걸면 이곳에서도<br>스토리 퀘스트를 진행할 수 있습니다.<br><br>또한 「퀵 메뉴」에서도<br>이동할 수 있습니다."""
text02#0,"""「퀵 메뉴」는<br><%SelectMenu>로 열 수 있는<br>편리한 기능용 메뉴입니다.<br><br>「퀵 메뉴」에서는<br>주변 캐릭터 정보를 표시하거나<br>텔레포터 없이 특정 에리어로<br>이동하는 등의 기능을 쓸 수 있으니<br>적극적으로 활용해 보세요."""
skit01_010#0,"""이곳을 아직 설명하지 않았네요.<br>이 장소에 대해 설명해 드릴게요."""
skit01_020#0,"""스토리 퀘스트 등을<br>수주할 수 있으니<br>한번 들러 보세요."""
11_voice_NPC_5239_104#0,"""네, 지구 분이 이곳에 오고 싶다고요?<br>음, 으으음……"""
itsuki_020#0,"""……초대받은 분인가요.<br>그렇다면 믿을 수 있겠지만<br>……샤오가 화낼 것 같네요."""
itsuki_030#0,"""이곳에는 온갖<br>최중요 기밀이 모여 있어서<br>쓸데없는 위험은 피하고 싶습니다."""
itsuki_040#0,"""보호 목적이라면 이야기가 다르지만<br>약간의 절차가 필요합니다."""
itsuki_050#0,"""그래서 죄송하지만<br>이번에는 거절해야 할 것 같습니다.<br>……정말 죄송합니다."""
itsuki_060#0,"""언젠가 편하게 드나들 수 있도록<br>눈앞의 문제 해결부터 힘내 봐요."""
11_voice_NPC_5239_100#0,"""아크스 쉽에 머무는<br>분들께는 벌써 인사하셨나요?"""
st01_020#0,"""모두 한결같이<br><%me> 님을<br>만나고 싶어 했습니다."""
st01_030#0,"""재활이라는 명목도 있으니<br>시간을 내서 여기저기 둘러보며<br>여러분과 이야기해 보시겠어요?"""
11_voice_NPC_5239_104#1,"""우리가 지구에 간섭하는 것에<br>샤오는 아무 말도 하지 않네요."""
st01_020#1,"""평소라면 잘못된 일을 하자마자<br>수정 지시를 내리거나 무언가<br>연락했을 텐데, 그것조차 없습니다."""
st01_030#1,"""어쩌면 지구의 이번 사건에<br>【심원의 어둠】을 근본적으로 해결할<br>방법이나 실마리가 있다고 보는 걸지도……"""
st01_040#0,"""……뭐, 저는 전혀<br>상상도 못 하겠지만요."""
11_voice_NPC_5239_102#0,"""정보부도 나름대로 생각했다는 건<br>저도 알고 있습니다."""
st01_020#2,"""그래도 분명 더 나은 방법이<br>있었을 거라고 생각해요."""
st01_030#2,"""정보 정리도 자기들이 할 수 있으면서<br>이쪽에 전부 떠넘기고…… 정말!"""
11_voice_NPC_5239_102#1,"""정보부에서 받은 정보를 정리하느라<br>정말 힘들었습니다."""
st01_020#3,"""정리도 안 한 채 한꺼번에<br>쏟아부을 필요는 없잖아요!"""
st01_030#3,"""뭐, 그래도 관리하기 좋게<br>정보를 정리할 수 있었다고 생각하며<br>넘어가겠습니다!"""
11_voice_NPC_5239_102#2,"""히츠기 씨 상태가 걱정됩니다.<br>무리하는 것 같아요."""
st01_020#4,"""음…… 어떻게 해야 할까요.<br>걱정해서 말을 걸어도<br>괜찮다는 대답만 돌아올 테고요."""
st01_030#4,"""뭔가 해 줄 수 있으면 좋겠지만<br>음…… 생각이 안 나네요."""
st01_040#1,"""걱정밖에 할 수 없다는 것도<br>마음이 아프네요."""
st01_010#0,"""알 군에 대해서는 여러 대응과<br>병행해서 조사하고 있습니다.<br>알 군도 협조해 주고 있고요."""
st01_020#5,"""하지만 지금은 보통 아크스나<br>히츠기 씨 일행과 큰 차이가 없어<br>좀처럼 답이 보이지 않습니다."""
st01_030#5,"""샤오에게도 견해를 요청했지만<br>현재로서는 우리와 같은 결론입니다.<br>평범한 인간이라는 결론이요."""
st01_040#2,"""처음 알 군과 접촉하려 했을 때<br>강제로 연결을 끊은 마더……<br>뭔가 비밀이 있다고 생각합니다."""
11_voice_NPC_5239_102#3,"""히츠기 씨의 생명 반응은<br>회복됐지만<br>의식은 여전히 잃은 상태였습니다."""
st01_020#6,"""구현 무장은 마음이 구현된 것입니다.<br>그것이 부러졌다는 건<br>마음도 함께 꺾였다는 뜻입니다."""
st01_030#6,"""……어쨌든 구해 내기 전에는<br>알 수 없지만 걱정됩니다.<br>히츠기 씨의 몸도, 마음도요."""
st01_040#3,"""……아, 참고로 알 군은 무사합니다.<br>지금 메디컬 체크를<br>받고 있는 중입니다."""
st01_010#1,"""으으…… 머리가 지끈거려요……<br>그럴 수밖에 없었다지만<br>관리 통제를 혼자 맡는 건 사양이에요."""
st01_020#7,"""몸 상태가 좋았다면 지금 감지되는<br>이상 반응도 여기서 분석할 텐데<br>……죄송해요, 번거롭게 해 드리네요."""
11_voice_NPC_5239_104#2,"""으으…… 머리가 지끈거려요……<br>그럴 수밖에 없었다지만<br>관리 통제를 혼자 맡는 건 사양이에요."""
st01_010#2,"""환창종 다커…… 에스카 다커라<br>부르는 적성 존재지만<br>다커와는 조금 다른 것 같습니다."""
st01_020#8,"""침식 성질은 비교조차 안 될 정도로 약하고<br>아크스에 강한 적개심도 없습니다.<br>그저 겉모습만 닮았을 뿐입니다."""
st01_030#7,"""……다만 앞으로 어떻게<br>변해 갈지는 아직 알 수 없습니다.<br>빨리 해결하지 않으면 위험합니다."""
st01_010#3,"""히츠기 씨와 코오리 씨.<br>화해해서 정말 다행이네요."""
st01_020#9,"""처음부터 두 분을 감시……<br>아니, 지켜보던 사람으로서는<br>한시름 놓았습니다."""
st01_030#8,"""……상황은 아직 방심할 수 없지만<br>하나씩 해결해 나가면<br>분명 괜찮습니다, 반드시요!"""
11_voice_NPC_5239_100#1,"""또 문제가 산더미지만……<br>지금은 웃을 때예요!\u3000알 군이<br>무사히 돌아왔으니까요!"""
st01_020#10,"""물론 아크스의 검사도 끝났습니다.<br>다크 펄스의 잔재도 이미<br>사라진 것을 확인했습니다."""
st01_030#9,"""<%me> 님께<br>쉽게 설명하자면 마토이 씨와<br>같은 상태라는 뜻입니다."""
11_voice_NPC_5239_104#3,"""강제적인 진화……<br>그건 섭리를 벗어난 행위입니다."""
st01_020#11,"""물론 아크스와 포토너도<br>역사 속에서 크게 다르지 않은 일을<br>해 왔습니다만……"""
st01_030#10,"""그 결말은 늘 좋지 않았습니다.<br>……그렇게 되지 않도록<br>우리가 막아야 합니다."""
st01_010#4,"""처음에는 이상한 아크스를 조사하며<br>시작된 지구와의 관계가<br>이렇게 큰일이 될 줄은……"""
11_voice_NPC_5239_100#2,"""여러 일이 있었지만 어떻게든<br>모두 무사히 끝나서 다행입니다.<br>오퍼레이터로서 보람을 느껴요!"""
st01_030#11,"""하지만 이번 소동의 보고서처럼<br>오퍼레이터에게는 지금부터가<br>진짜 힘든 일이지만요……"""
sq00_010#0,"""으으, 긴장되네요……<br>제가 싸우는 건 아니지만<br>그래도 긴장됩니다."""
sq00_020#0,"""저도 온 힘을 다해 지원하겠습니다.<br>그러니 힘내 주세요.<br><%me> 님."""
sq01_010#0,"""반응을 완전히 놓친 건<br>이번이 처음이라<br>계속 혼란스러웠습니다."""
sq01_020#0,"""본인 앞에서 말하긴 억울하지만<br>샤오가 있어서 다행이었습니다."""
11_voice_NPC_5239_100#3,"""무엇보다 당신이 무사해서<br>정말 다행입니다."""
11_voice_NPC_5239_104#4,"""설마 이런 식으로 루서와<br>마주치게 될 줄은……<br>저쪽에 가기 싫어지네요……"""
sq02_020#0,"""아뇨, 직무를 포기하진 않을 겁니다!<br>게다가 저쪽 루서는 어쩐지<br>이쪽 루서와는 다른 것 같고요."""
sq02_030#0,"""……조금 더 지켜보겠습니다.<br>방심하진 않겠지만요."""
11_voice_NPC_5239_104#5,"""이번에는 겟템하르트 씨에<br>죽은 멜폰시나 씨까지……<br>……이제 머릿속이 엉망입니다."""
sq03_020#0,"""이유를 고민하기보다는<br>눈앞에서 벌어지는 일을 받아들이고<br>어떻게 할지 생각하겠습니다."""
sq04_010#0,"""우리가 저쪽에서 한 일은<br>결코 헛되지 않았습니다!<br>갑자기 의욕이 생기네요!"""
11_voice_NPC_5239_100#4,"""저쪽에는 힘든 일도 많지만……<br>함께 힘내 봐요,<br><%me> 님!"""
sq05_010#0,"""오메가의 루서……<br>겉모습은 저래도 하리엣 씨를<br>소중히 여긴 건 분명합니다."""
sq05_020#0,"""그래서 뭐랄까……<br>그 루서는 그렇게 미워할 수 없어서<br>……조금 충격입니다."""
sq06_010#0,"""루서를…… 오빠를 잃은<br>하리엣 씨의 마음이 얼마나 아픈지<br>저도 이해합니다."""
sq06_020#0,"""하지만 물어봐야 합니다.<br>두 사람 사이에 무슨 일이 있었는지."""
sq06_030#0,"""<%me> 님.<br>하리엣 씨에게<br>가 보도록 해요."""
11_voice_NPC_5239_108#0,"""【약인】과 관련된 사람들이<br>한꺼번에 행방불명이라니……<br>분명 좋지 않은 일이 벌어지고 있습니다."""
sq08_020#0,"""다음에는 어떤 엉망진창인 일에<br>대처해야 할까요.<br>벌써부터 마음이 무겁네요."""
11_voice_NPC_5239_106#0,"""……앗!\u3000이러면 안 되죠!<br>우리가 힘내야 합니다!<br>함께 힘내 봐요!"""
sq09_010#0,"""아이카 씨가 이렇게 무사히 돌아왔으니<br>다른 분들도 분명<br>똑같이 돌아올 수 있을 겁니다!"""
11_voice_NPC_5239_100#5,"""조금…… 여러 의미로 무섭지만<br>함께 힘내 봐요!<br><%me> 님!"""
11_voice_NPC_5239_105#0,"""오메가의 사건은 대개 피곤하지만<br>이번 일은 특히 힘들었습니다.<br>주로 정신적으로요."""
sq10_020#0,"""하지만 쉴 수만은 없습니다.<br>실종자 전원을 되찾았을 뿐<br>사태는 계속되고 있으니까요."""
sq10_030#0,"""다음에는 무슨 일이 벌어질까요.<br>……미리 막을 수 있다면<br>가장 좋겠지만요."""
sq11_010#0,"""역시 올 것이 왔네요.<br>흐름상 이렇게 될 거라고<br>생각하긴 했습니다."""
sq11_020#0,"""그래도…… 저쪽 세계의 플로 군은<br>나쁜 아이로 보이지 않아서<br>혹시나…… 하고 생각했어요."""
11_voice_NPC_5239_104#6,"""나쁜 예상은 잘 맞는데<br>좋은 예상은 잘 안 맞는군요.<br>……조금 슬픕니다."""
sq12_010#0,"""블랙홀의 이상 상태는<br>분명 오메가 쪽의 영향입니다."""
sq12_020#0,"""저쪽의 동란을 진정시키면<br>……멈출 겁니다. 아마도요.<br>아뇨, 반드시 멈춥니다!"""
sq12_030#0,"""에르밀을 막아요!<br>그리고 하리엣 씨를 구해<br>세계를 구하는 겁니다!"""
sq12_040#0,"""수호휘사의 힘을 보여 줄 때네요!"""
11_voice_NPC_5239_105#1,"""종말의 여신 시바의 좌표는<br>추적하지 못했습니다.<br>현재 위치를 알 수 없습니다."""
sq13_020#0,"""정확히는 현재 시스템으로는<br>그녀들을 추적할 방법이 없어서요……"""
sq13_030#0,"""기술인지 능력인지……<br>어느 쪽이든 차원이 다르다는 뜻입니다."""
11_voice_NPC_5239_105#2,"""종말의 여신 시바는 모르는 점이<br>너무 많습니다…… 적의 다음 움직임을<br>읽을 수 없으니 불안합니다."""
ep6_sq00_02#0,"""하지만 당사자와 사령부를 중심으로<br>긴급 회의를 거듭한 결과<br>새로 밝혀진 사실도 있습니다."""
ep6_sq00_03#0,"""낙관할 수는 없지만……<br>모두 함께 의논하고 생각해 나가면<br>분명 전진할 수 있습니다. 힘내 봐요!"""
11_voice_NPC_5239_105#3,"""알마 씨…… 괜찮을까요.<br>남몰래 무리하는 성격이라<br>……조금 걱정됩니다."""
ep6_sq01_01#0,"""각 쉽의 독립 연산, 이상 없음.<br>아크스 각원의 상황 보고 수신 중.<br>행성 암두스키아로 항행 중!"""
ep6_sq01_02#0,"""샤오를 믿고, 모두를 믿고……<br>앞만 보며 힘내야 합니다!<br>지금은 미숙한 시에라에게 맡겨 주세요!"""
11_voice_NPC_5239_107#0,"""마더 쉽 내부에 적성 반응입니다!<br>이렇게 빨리, 전조도 없이<br>갑자기 나타나다니……!"""
ep6_sq01_00_01#0,"""적 함대의 추격을 떨치기 위해<br>대규모 긴급 작전이 계속되고 있지만<br>모두 무리하지 않는지 걱정입니다……"""
ep6_sq01_00_02#0,"""그래도 암두스키아에는<br>착실히 가까워지고 있습니다. 그때까지……<br>반드시 모두 함께 헤쳐 나가요!"""
11_voice_NPC_5239_100#6,"""<%me> 님,<br>수고 많으셨습니다……!<br>정말 감사합니다!"""
ep6_sq02_02#0,"""다른 분들께도 감사한 마음뿐입니다.<br>샤오가 돌아오지 못하고 사라졌다면<br>생각만 해도 저는……!"""
ep6_sq02_03#0,"""……아뇨!\u3000감상에 젖는 건 나중에!<br>지금은 다음 작전 준비에 집중할게요.<br>샤오 말대로 반격할 때입니다!"""
ep6_sq02_01_01#0,"""역시 그렇게 간단히<br>되지는 않네요……"""
ep6_sq02_01_02#0,"""하지만 침울해할 때가 아닙니다.<br>먼저 교전 데이터를 빠르게 정리해서<br>샤오와 모두 함께 의논해 봐요!"""
11_voice_NPC_5239_100#7,"""정보에서 보이는 대책이 분명 있을 겁니다.<br>좋아, 빠르게 정리해 버릴게요!"""
ep6_sq02_02_01#0,"""상대의 전투력을 모르면<br>우리도 어떻게 싸워야 할지<br>판단할 수 없습니다."""
ep6_sq02_02_02#0,"""그런 의미에서는 시바의 전투력을<br>구체적으로 추정할 수 있어 다행입니다.<br>……터무니없는 수치였지만요."""
ep6_sq02_02_03#0,"""우리 힘을 당장 늘릴 수 없다면<br>상대의 힘을 줄여서<br>유리하게 싸워 봐요!"""
11_voice_NPC_5239_102#4,"""드디어 시바를 쓰러뜨렸다고 생각했는데<br>의태한 미트라였다니……"""
11_voice_NPC_5239_100#8,"""그래도!\u3000포토너를<br>한 명이나마 쓰러뜨렸습니다!<br>이건 큰 한 걸음이에요!"""
ep6_sq03_02_01_03#0,"""우리라면 분명<br>시바를 쓰러뜨릴 방법도 찾을 겁니다!<br>계속해서 힘내 봐요!"""
11_voice_NPC_5239_101#0,"""아직 희망의 불씨는 꺼지지 않았습니다.<br>모두가 힘써 준 덕분에 조금이나마<br>가능성이 남았습니다!"""
ep6_sq04_01_02#0,"""지금까지의 작전은 실패했지만<br>다음에는 반드시 성공시켜요!<br>우리라면 분명 해낼 수 있습니다!"""
ep6_sq04_01_03#0,"""하지만 적의 맹공은 여전합니다.<br>당황하지 말고 부탁드릴게요!"""
11_voice_NPC_5239_100#9,"""수고 많으십니다!<br>우선 오메가의 전투는<br>일단락됐네요."""
ep6_sq05_2#0,"""여러 일이 있었지만 이제야<br>적의 힘을 봉인하는 결계를<br>펼치는 데 성공했습니다."""
ep6_sq05_3#0,"""……그렇다면<br>다음이 진짜 고비군요.<br>저도 더 열심히 하겠습니다!"""
text01#1,"""드디어 때가 왔네요.<br>이게 정말 마지막 싸움……<br>저는 준비를 마쳤습니다!"""
text02#1,"""솔직히 이길 수 있을지는<br>샤오도 저도 모릅니다.<br>오히려 승산은 낮은 편입니다."""
11_voice_NPC_5239_100#10,"""그래도 당신과 마토이 씨라면<br>분명 해내리라 믿습니다!<br>미숙한 시에라, 온 힘껏 지원할게요!"""
11_voice_NPC_5239_100#11,"""해냈어요!\u3000해냈다고요!<br>마침내 시바를 쓰러뜨렸습니다!<br>우리의 승리입니다!"""
text02#2,"""정말 수고 많으셨습니다!<br>저도 전속 오퍼레이터로서<br>어깨가 으쓱하네요. 에헴!"""
text03#0,"""그래도 아크스의 활동은<br>아직 계속될 테니<br>앞으로도 잘 부탁드립니다!"""
