msc_013025_0010#0,"""みんな、来てくれてありがとう。"""
msc_013025_0020#0,"""セントラルキャノンはどう？"""
msc_013025_0030#0,"""うん、先の戦いでセントラルキャノンが、<br>ダークファルスに有効だということがわかった。"""
msc_013025_0040#0,"""とはいえ、たった一発で砲身が破損してしまってね。<br>修復は進んでいるけど、並行して改良も考えないといけない。"""
msc_013025_0050#0,"""先日、ダークファルスとの大きな戦闘があってね。"""
msc_013025_0060#0,"""急な事態ではあったけど、セントラルキャノンを使って、<br>なんとか撃退することができた。"""
msc_013025_0070#0,"""しかし、たった一発で砲身が破損してしまってね。<br>修復を進めてはいるけど、並行して改良も考えないといけない。"""
msc_013025_0080#0,"""特に問題は、発射機構と砲身だ。"""
msc_013025_0090#0,"""高圧縮したフォトンを一気に射出するには、<br>フォトン加速器の性能と砲身の強度が圧倒的に足りない……。"""
msc_013025_0100#0,"""そこで、僕の友人でもある研究者に手を貸してもらっていてね。<br>改良のための有益な情報を得たと連絡があったんだけど……。"""
msc_013025_0110#0,"""何か問題が？"""
msc_013025_0120#0,"""実はここ数日、連絡が取れなくてね……。"""
msc_013025_0130#0,"""え？"""
msc_013025_0140#0,"""彼の妹に問い合わせたところ、<br>どうも行方不明になっているらしい。"""
msc_013025_0150#0,"""そんな……。"""
msc_013025_0160#0,"""今回は、キミたちにその友人を探してもらいたいんだ。<br>お願いできるかい？"""
msc_013025_0170#0,"""わかった。"""
msc_013025_0180#0,"""これが、彼が住む“クヴァリスリージョン”だ。<br>みんなにはここへ向かってほしい。"""
msc_013025_0190#0,"""知っている人も多いと思うけど、クヴァリスリージョンは<br>数十年以上前に、放棄されたままの状態だ。"""
msc_013025_0200#0,"""ここにはかつて、セントラルシティの前身となる<br>首都があったが……。"""
msc_013025_0210#0,"""ドールズとの戦いで、<br>手放さざるを得なくなったと言われている。"""
msc_013025_0220#0,"""友人の名はイルマ。若いけどとても優秀な研究者でね。<br>彼の力がセントラルキャノンの完成には必要なんだ。"""
msc_013025_0230#0,"""それに……友人として、彼の安否がとても心配だ。<br>どうか頼むよ。"""
