msc_013020_0010#0,"""ขอบคุณที่มานะ ทุกคน"""
msc_013020_0020#0,"""เรื่องปืนใหญ่ไปถึงไหนแล้วล่ะ?"""
msc_013020_0030#0,"""พวกเราสามารถยืนยันประสิทธิภาพของมันได้แล้วจากการต่อสู้กับ Dark Falz เมื่อเร็วๆ นี้"""
msc_013020_0040#0,"""แต่น่าเสียดายที่ปืนใหญ่เกิดความเสียหายหลังจากยิงไปได้แค่ครั้งเดียว ตอนนี้กำลังดำเนินการซ่อมแซมอยู่ แต่พวกเราก็ต้องหาวิธีพัฒนาโครงสร้างของมันด้วยเหมือนกัน"""
msc_013020_0050#0,"""พวกเราเพิ่งจะต่อสู้กับ Dark Falz ไปเมื่อไม่นานมานี้เอง"""
msc_013020_0060#0,"""แม้ว่ามันจะเป็นสถานการณ์ฉุกเฉิน แต่พวกเราก็สามารถขับไล่มันไปได้ด้วยเซ็นทรัลแคนนอน (Central Cannon)"""
msc_013020_0070#0,"""อย่างไรก็ตาม ปืนใหญ่เกิดความเสียหายหลังจากยิงไปได้แค่ครั้งเดียว ตอนนี้กำลังดำเนินการซ่อมแซมอยู่ แต่พวกเราก็ต้องหาวิธีพัฒนาโครงสร้างของมันด้วยเหมือนกัน"""
msc_013020_0080#0,"""โดยเฉพาะอย่างยิ่ง กลไกการยิงและลำกล้องของปืนใหญ่"""
msc_013020_0090#0,"""ประสิทธิภาพของเครื่องเร่งอนุภาค Photon และความแข็งแกร่งของโครงสร้างปืนใหญ่นั้น ยังไม่เพียงพอต่อความต้องการของเราเลย..."""
msc_013020_0100#0,"""ดังนั้นฉันเลยไปขอความช่วยเหลือจากเพื่อนนักวิจัยของฉันน่ะ พวกเราได้รับข้อมูลที่เป็นประโยชน์ต่อโปรเจกต์มาบ้าง แต่..."""
msc_013020_0110#0,"""เกิดอะไรขึ้นเหรอ?"""
msc_013020_0120#0,"""พวกเราไม่ได้รับการติดต่อจากพวกเขามาหลายวันแล้ว..."""
msc_013020_0130#0,"""เอ๊ะ?"""
msc_013020_0140#0,"""พอฉันไปสอบถามกับน้องสาวของเขา เธอก็บอกว่าเขาหายตัวไปน่ะ"""
msc_013020_0150#0,"""แย่แล้วสิ..."""
msc_013020_0160#0,"""ฉันอยากให้พวกเธอช่วยตามหาเขาให้หน่อย จะพึ่งพาพวกเธอได้ไหม?"""
msc_013020_0170#0,"""แน่นอนค่ะ"""
msc_013020_0180#0,"""นี่คือภูมิภาคควาริส (Kvaris) สถานที่ที่เขาอาศัยอยู่ พวกเธอต้องมุ่งหน้าไปที่นี่ก่อน"""
msc_013020_0190#0,"""ส่วนใหญ่ก็คงรู้กันอยู่แล้ว แต่ภูมิภาคควาริส (Kvaris) ถูกทิ้งร้างมาหลายสิบปีแล้วล่ะ"""
msc_013020_0200#0,"""มันเคยเป็นที่ตั้งของเมืองหลวง เป็นสถานที่ที่บรรพบุรุษของเซ็นทรัลซิตี้ (Central City) เคยอาศัยอยู่..."""
msc_013020_0210#0,"""พวกเขาถูกบีบให้ต้องทิ้งบ้านเกิดของตัวเองไปในช่วงสงครามกับพวก DOLLS"""
msc_013020_0220#0,"""เพื่อนของฉันชื่ออิลม่า (Ilma) ถึงจะยังอายุน้อย แต่เขาก็เป็นนักวิจัยที่ประสบความสำเร็จแล้ว เขาจะเป็นกำลังสำคัญในการสร้างปืนใหญ่ให้เสร็จสมบูรณ์เลยล่ะ"""
msc_013020_0230#0,"""และ... ฉันก็อดเป็นห่วงความปลอดภัยของเพื่อนไม่ได้จริงๆ ได้โปรด ช่วยตามหาเขาให้ทีนะ"""
