msc_013100_0010#0,"""เธอดูเหมือนจะ... ตึงเครียดนิดหน่อยนะ"""
msc_013100_0020#0,"""ผมขอโทษด้วยนะ พวกเราไม่เคยติดต่อกับคนนอกเลย... ผมคิดว่าเมรี่ (Meri) แค่ไม่รู้ว่าจะต้องรับมือยังไงน่ะ"""
msc_013100_0030#0,"""อืม เข้าใจแล้วล่ะ..."""
msc_013100_0040#0,"""นี่ พวกเธอคิดว่าไง? พวกเราจะปล่อยไว้แบบนี้ไม่ได้ใช่ไหมล่ะ?"""
msc_013100_0050#0,"""พวกเราเองก็เป็นห่วงเหมือนกัน เพราะงั้นเราก็ควรจะร่วมค้นหาด้วย"""
msc_013100_0060#0,"""มันเป็นภารกิจของพวกเราที่จะต้องช่วยเหลือนี่นา"""
msc_013100_0080#0,"""ใช่ๆ พวกเราไม่มีทางเพิกเฉยต่อ ARKS ที่กำลังเดือดร้อนหรอกนะ"""
msc_013100_0090#0,"""ถูกแล้วล่ะ พวกเราควรทำตามหน้าที่และเริ่มออกตามหา ไม่น่าจะมีปัญหาอะไรหรอกนะ"""
msc_013100_0110#0,"""ใช่! พวกเรามีภารกิจที่ต้องทำให้สำเร็จนะ! ถึงเมรี่ (Meri) จะคัดค้าน พวกเราก็ต้องไปตามหาเขาให้ได้!"""
msc_013100_0120#0,"""ผมขอโทษที่ทำให้พวกคุณต้องลำบากนะ ได้โปรด ช่วยตามหาอิลม่า (Ilma) ให้พวกเราทีเถอะ"""
msc_013100_0130#0,"""พี่ชายทั้งสองคนของเธอออกไปตามหาแล้วใช่ไหม? พอจะรู้ไหมว่าพวกเขาอาจจะไปที่ไหน?"""
msc_013100_0140#0,"""ผมค่อนข้างแน่ใจว่าตูลลี (Tulli) บอกว่าจะมุ่งหน้าไปที่ศูนย์วิจัย ส่วนไทวาส (Taivas) ไปทางลอสต์เซ็นทรัล (Lost Central) น่ะ"""
msc_013100_0141#0,"""ลอสต์เซ็นทรัล (Lost Central) เหรอ?"""
msc_013100_0142#0,"""มันคืออดีตเมืองหลวงน่ะ"""
msc_013100_0150#0,"""เข้าใจล่ะ พวกเราจะลองดูว่าจะตามพวกเขาไปทันไหม"""
msc_013100_0160#0,"""ขอบใจนะคุกก้า (Kukka)! เอาล่ะ พวกเราไปกันเถอะ! ฝากบอกเมรี่ (Meri) ด้วยนะว่าพวกเราจะกลับมาให้ทันมื้อเย็น!"""
