msc_013090_0010#0,"""กลับมาแล้ว"""
msc_013090_0020#0,"""ยินดีต้อนรับกลับนะ เมรี่ (Meri) อ้าว พาแขกมาด้วยเหรอ?"""
msc_013090_0030#0,"""...อ๊ะ! คราวนี้คืออิลม่า (Ilma) ใช่ไหม?"""
msc_013090_0040#0,"""นี่คือคุกก้า (Kukka) พี่ชายของฉันเอง"""
msc_013090_0050#0,"""ยินดีที่ได้รู้จักครับ"""
msc_013090_0060#0,"""พวกเธอดูตกใจนะ พวกเรามีกันทั้งหมดห้าคนน่ะ"""
msc_013090_0070#0,"""ห้าคนเลยเหรอ?!"""
msc_013090_0080#0,"""ใช่แล้ว พี่คนโตคือไทวาส (Taivas) รองลงมาคือตูลลี (Tulli) ต่อจากนั้นก็อิลม่า (Ilma) คุกก้า (Kukka) และก็ฉันไง"""
msc_013090_0090#0,"""เยอะจังเลยนะเนี่ย..."""
msc_013090_0100#0,"""ที่นี่มีแค่พวกคุณอาศัยอยู่เหรอคะ?"""
msc_013090_0110#0,"""ใช่ พวกเราเสียพ่อแม่ไปตั้งแต่ยังเด็กน่ะ... หลังจากนั้นคุณปู่ก็เป็นคนเลี้ยงดูพวกเรามาตลอด แต่ว่า..."""
msc_013090_0120#0,"""ท่านก็เพิ่งจะจากพวกเราไปเมื่อไม่นานมานี้เอง"""
msc_013090_0130#0,"""...อ่า... เข้าใจแล้วล่ะ"""
msc_013090_0140#0,"""แล้วพอจะมีข่าวคราวของอิลม่า (Ilma) บ้างไหม?"""
msc_013090_0150#0,"""ข้อมูลอะไรก็เป็นประโยชน์ทั้งนั้น เกี่ยวกับสถานที่ที่เขาอาจจะไปน่ะ"""
msc_013090_0160#0,"""อิลม่า (Ilma) เป็นคนที่ปลีกตัวออกห่างที่สุดในบรรดาพวกเราพี่น้องเลยล่ะ..."""
msc_013090_0170#0,"""ช่วงหลังๆ มานี้เขาเอาแต่หมกตัวอยู่ในห้องเพื่อทำงานวิจัยของเขาน่ะ<br>บางทีเขาก็หายตัวไปเพื่อสืบหาข้อมูลอะไรสักอย่างหรืออะไรก็ตามที่เขาทำนั่นแหละ..."""
msc_013090_0180#0,"""พวกเราเลยไม่ได้คิดอะไรมากตอนที่สังเกตเห็นว่าเขาหายตัวไปในคราวนี้..."""
msc_013090_0190#0,"""เอาล่ะ พวกเรามาที่นี่เพื่อช่วยเหลือพวกเธอนะ"""
msc_013090_0200#0,"""นั่นคงจะดีมากเลย มีคนช่วยหาเยอะๆ จะได้เจอเร็วขึ้น"""
msc_013090_0210#0,"""ขอบใจในความหวังดีนะ แต่พวกเราไม่อยากรบกวนพวกเธอหรอก"""
msc_013090_0220#0,"""เอ๊ะ...?"""
msc_013090_0230#0,"""นี่เป็นปัญหาของครอบครัวเรา และพวกเราจะจัดการกันเอง"""
msc_013090_0240#0,"""แต่ว่า..."""
msc_013090_0250#0,"""ตอนนี้ไทวาส (Taivas) กับตูลลี (Tulli) ออกไปตามหาอยู่ ไม่ต้องห่วงหรอก พวกเขาจัดการได้"""
msc_013090_0260#0,"""พวกเขารู้จักภูมิภาคควาริส (Kvaris) ทะลุปรุโปร่งเลยล่ะ"""
msc_013090_0270#0,"""อีกอย่าง พวกเธอจำเป็นต้องมีคนช่วยนำทางนะ"""
msc_013090_0280#0,"""พวกเขาควรจะกลับมาตอนพระอาทิตย์ตกดิน เพราะงั้นพวกเธอรออยู่ที่นี่ก่อนเถอะ"""
msc_013090_0290#0,"""คืนนี้ฉันจะเป็นคนทำมื้อเย็นเอง พวกเธออยู่กินด้วยกันสิ"""
msc_013090_0300#0,"""..."""
name01#0,"""???"""
