name01#0,"""Xiera"""
11_voice_train_04001#0,"""Hello! This is the \""Gunner Basics\"" training course!"""
text02#0,"""First, I'll explain <red>Twin Machinegun Gear<c>!"""
text03#0,"""As Twin Machinegun Gear fills, <red>your attack power increases<c>!"""
text04#0,"""Try using a Photon Art with <red>Gear at level 2 or higher<c>."""
text101#0,"""Task 1: <yellow>Use a Photon Art with 2 or more levels of Gear<c>"""
train_title#0,"""Task 1: <yellow>Use a Photon Art with 2 or more levels of Gear<c>"""
tut_title#0,"""Twin Machinegun Gear"""
text100#0,"""・Attack enemies until you<br>\u3000reach level 2 Gear<br>・Use a Photon Art with <%PhotonArts>"""
text100_3b#0,"""・Attack enemies until you<br>\u3000reach level 2 Gear<br>・Use a Photon Art with <%PhotonArts>"""
tut_win_title#0,"""Twin Machinegun Gear"""
tut_win_text100#0,"""By learning the Class Skill \""Twin Machinegun Gear\"", you can further increase the performance of your Twin Machineguns.<br><br>By attacking enemies, you will reach Gear 2, then Gear 3.<br><br>As Twin Machinegun Gear fills, your attack power increases."""
